delta_gamma,delta_error,status,total_cost,gpu_rental_cost,total_gpus,delay_penalty,budget_utilization_pct,unmet_demand_pct,gamma_impact_min,gamma_impact_max,error_impact_min,error_impact_max,solve_time
0.1,0.1,OPTIMAL,681.2034720523851,161.30838346597952,27,248.43765866395728,8.065419173298976,0.5982946347420016,0.05167729357060789,0.3964167886002812,0.05068665940412892,0.39773200803581166,0
0.1,0.15,OPTIMAL,677.3782867317193,170.0261377931626,26,246.38437629512896,8.50130688965813,0.5664476562745315,0.05072575472638044,0.39563936926932636,0.0507723713866539,0.5390843548883198,0
0.1,0.2,OPTIMAL,662.8505114253235,189.20742396864455,22,244.96148785457643,9.460371198432227,0.5171398191853406,0.050946382025573174,0.3999870636129047,0.053122376559875374,0.6896947827597258,0
0.1,0.25,OPTIMAL,650.1964558541183,187.48356124590262,26,246.42576764721778,9.374178062295131,0.4921571034095239,0.05345870952527086,0.39655129964875346,0.05161616326630452,0.8447826459791589,0
0.1,0.3,OPTIMAL,637.0179382851741,187.48356124590262,26,245.17442151172003,9.374178062295131,0.4658040608033058,0.050090601693462584,0.3973421275833759,0.05022522404901444,0.995075280972565,0
0.15,0.1,OPTIMAL,700.598713888934,171.7500005159045,22,263.522046397986,8.587500025795226,0.5788736778804211,0.051014015744729045,0.5472892323120477,0.05062127968969662,0.39847784376115936,0
0.15,0.15,OPTIMAL,692.3217094261067,170.67424856402815,27,262.42907703707084,8.533712428201408,0.5603392262238966,0.052312909463064196,0.5492478984812915,0.050901895475232224,0.5463494237408897,0
0.15,0.2,OPTIMAL,682.2552208208474,187.48356124590262,26,263.9089008769135,9.374178062295131,0.5216337797686942,0.05329470091059599,0.5496415412722347,0.05006777622489744,0.6993033740104801,0
0.15,0.25,OPTIMAL,670.5947957949809,187.48356124590262,26,263.6048349903216,9.374178062295131,0.49862605110451835,0.05040991605654811,0.5343287146037391,0.0515810019118732,0.8388647787919536,0
0.15,0.3,OPTIMAL,655.1817321623143,187.48356124590262,26,260.00572668924906,9.374178062295131,0.467130995353412,0.051826018969068695,0.5376408513044404,0.05307783387999997,0.9917782399285616,0
0.2,0.1,OPTIMAL,715.2084571457805,189.24469814047606,20,242.85963071602617,9.462234907023802,0.5802816981172725,0.05102558015116948,0.6987339205403559,0.0513301281798282,0.38868236975276677,0
0.2,0.15,OPTIMAL,705.4175667517587,206.70212159321608,20,238.498422915081,10.335106079660804,0.5444725252087411,0.055579696238333365,0.6995849730509281,0.052068719123363,0.5401382835731018,0
0.2,0.2,OPTIMAL,693.1737233723783,206.70212159321608,20,238.32425259536464,10.335106079660804,0.5217432872126961,0.05151466132398128,0.6828055575239084,0.05632401283456548,0.6878731261670344,0
0.2,0.25,OPTIMAL,677.1038521739403,206.70212159321608,20,236.6413690241252,10.335106079660804,0.4922780807430815,0.06124529852759112,0.6998336304276397,0.05320422938020331,0.844210367591466,0
0.2,0.3,OPTIMAL,670.7368417531366,206.70212159321608,20,235.70217643801772,10.335106079660804,0.47723938395145377,0.05055142242495681,0.6882122110609906,0.05071384908429162,0.9724114007263043,0
0.25,0.1,OPTIMAL,722.7126437272055,190.3237745920271,20,247.991121543093,9.516188729601355,0.5847063857529584,0.05475232293308428,0.8489464823508495,0.05053459950567507,0.3863431783008904,0
0.25,0.15,OPTIMAL,709.2456582525488,206.70212159321608,20,242.86870857444458,10.335106079660804,0.5447535028709576,0.05467339684522218,0.8493583919815102,0.050503556741614164,0.5335946007818185,0
0.25,0.2,OPTIMAL,703.0475539285098,210.9028824096751,20,245.66652132068094,10.545144120483755,0.5179330053721757,0.05206251617358653,0.8492634994050451,0.05005657375604351,0.6931431288564642,0
0.25,0.25,OPTIMAL,687.4710223256636,206.70212159321608,20,244.95590837865555,10.335106079660804,0.4928860844671389,0.052172812315058534,0.838928192377338,0.0509169194505325,0.8418511065324165,0
0.25,0.3,OPTIMAL,675.4850798086266,206.70212159321608,20,244.51702680807105,10.335106079660804,0.4679638622981368,0.05621183527779045,0.8469667507871493,0.05060312589112004,0.9804267321638618,0
0.3,0.1,OPTIMAL,728.3423340254087,175.41160553637013,18,254.8202947861568,8.770580276818507,0.5801381593666153,0.05121201295111949,0.9979061397739806,0.05168251660675283,0.38399892743253816,0
0.3,0.15,OPTIMAL,720.1841799087952,206.70212159321608,20,251.64097306398182,10.335106079660804,0.5492650355718935,0.06191438882240341,0.998434572510652,0.05206090229758498,0.5456350505178554,0
0.3,0.2,OPTIMAL,709.5394780448138,206.70212159321608,20,251.4548667516006,10.335106079660804,0.5258359433782169,0.052878593265139856,0.9904038833850312,0.0509624481924447,0.699968246609634,0
0.3,0.25,OPTIMAL,694.4480852760518,210.9028824096751,20,250.6815588913921,10.545144120483755,0.48967275045616093,0.0500511149797224,0.9979282667321847,0.05100117672598533,0.823399268305197,0
0.3,0.3,OPTIMAL,687.4602287883911,209.50074017041172,20,251.20391988633406,10.475037008520586,0.47478457217626224,0.05032475079996283,0.998143116709287,0.05118883511509431,0.9865122083135127,0
