delta_gamma,delta_error,epsilon_scale,status,total_cost,gap,num_allocations,num_gpus,unmet_demand
0.2,0.1,0.4,OPTIMAL,1202.268759238324,0.0,6,4,5
0.2,0.1,0.6,OPTIMAL,938.4889834204628,0.0,6,4,2
0.2,0.1,0.8,OPTIMAL,759.1773558228917,0.0,6,4,1
0.2,0.1,1.0,OPTIMAL,739.6831668922889,0.0,6,6,1
0.2,0.1,1.2,OPTIMAL,646.5612454343727,0.0,6,6,1
0.2,0.1,1.4,OPTIMAL,625.8334339754512,0.0053713909958242965,6,5,1
0.2,0.15,0.4,OPTIMAL,1202.2687592383265,0.009269855415528513,6,4,5
0.2,0.15,0.6,OPTIMAL,938.488983420463,0.0073492819466583915,6,4,2
0.2,0.15,0.8,OPTIMAL,759.1773558229041,0.0,6,4,1
0.2,0.15,1.0,OPTIMAL,739.6831668922889,0.0,6,6,1
0.2,0.15,1.2,OPTIMAL,646.5612454343727,0.009740412654348945,6,6,1
0.2,0.15,1.4,OPTIMAL,625.8334339754523,0.0,6,5,1
0.2,0.2,0.4,OPTIMAL,1202.268759238324,0.007790709207544628,6,4,5
0.2,0.2,0.6,OPTIMAL,938.4889834204629,0.0,6,4,2
0.2,0.2,0.8,OPTIMAL,759.1773558229041,0.0,6,4,1
0.2,0.2,1.0,OPTIMAL,739.6831668922889,0.0,6,6,1
0.2,0.2,1.2,OPTIMAL,646.5612454343728,0.006875213623960217,6,6,1
0.2,0.2,1.4,OPTIMAL,625.8334339754522,0.0,6,5,1
0.2,0.25,0.4,OPTIMAL,1202.2687592383186,0.008483128172596388,6,4,5
0.2,0.25,0.6,OPTIMAL,938.488983420463,0.00035592675342929455,6,4,2
0.2,0.25,0.8,OPTIMAL,759.1773558229042,0.0,6,4,1
0.2,0.25,1.0,OPTIMAL,739.6831668922889,0.0,6,6,1
0.2,0.25,1.2,OPTIMAL,646.5612454343727,0.0,6,6,1
0.2,0.25,1.4,OPTIMAL,625.8334339754522,0.0,6,5,1
0.2,0.3,0.4,OPTIMAL,1202.2687587266569,0.0,6,4,5
0.2,0.3,0.6,OPTIMAL,938.4889834204628,0.0,6,4,2
0.2,0.3,0.8,OPTIMAL,759.1773527226289,0.0,6,4,1
0.2,0.3,1.0,OPTIMAL,739.6831668922879,0.0,6,6,1
0.2,0.3,1.2,OPTIMAL,646.5612426683639,0.0,6,6,1
0.2,0.3,1.4,OPTIMAL,625.8334339754523,0.008701011382893541,6,5,1
