delta_gamma,delta_error,epsilon_scale,status,total_cost,gap,num_allocations,num_gpus,unmet_demand
0.3,0.1,0.8,OPTIMAL,621.4365379555788,0.004005829946140048,6,4,1
0.3,0.1,1.0,OPTIMAL,609.2164337152788,0.0,6,6,1
0.3,0.15,0.8,OPTIMAL,621.4365477347972,0.0,6,4,1
0.3,0.15,1.0,OPTIMAL,609.2164337152808,0.0,6,6,1
0.3,0.2,0.8,OPTIMAL,621.4365477347972,0.0033677857571233496,6,4,1
0.3,0.2,1.0,OPTIMAL,609.2164337152808,0.0,6,6,1
0.3,0.25,0.8,OPTIMAL,621.4365477347969,0.0,6,4,1
0.3,0.25,1.0,OPTIMAL,609.2164337152799,0.0,6,6,1
0.3,0.3,0.8,OPTIMAL,621.4365383261483,0.0,6,4,1
0.3,0.3,1.0,OPTIMAL,612.1334302328861,0.005386892260989277,6,6,1
