delta_gamma,delta_error,epsilon_scale,status,total_cost,gap,num_allocations,num_gpus,unmet_demand
0.3,0.1,0.4,OPTIMAL,1060.3420327637552,0.0,6,5,3
0.3,0.1,0.6,OPTIMAL,804.0601327514323,0.006406162650634955,6,4,2
0.3,0.15,0.4,OPTIMAL,1060.3420327637555,0.0,6,5,3
0.3,0.15,0.6,OPTIMAL,804.0344207314632,0.0,6,4,2
0.3,0.2,0.4,OPTIMAL,1060.3420327637555,0.00997841662532832,6,5,3
0.3,0.2,0.6,OPTIMAL,804.060132751432,0.00221139523325194,6,4,2
0.3,0.25,0.4,OPTIMAL,1060.3420327637527,0.0,6,5,3
0.3,0.25,0.6,OPTIMAL,804.0601327514322,0.0,6,4,2
0.3,0.3,0.4,OPTIMAL,1059.4190191843245,0.005697198092939649,6,5,3
0.3,0.3,0.6,OPTIMAL,804.0601316944736,0.0,6,4,2
