delta_gamma,delta_error,epsilon_scale,status,total_cost,gap,num_allocations,num_gpus,unmet_demand
0.3,0.1,0.4,OPTIMAL,1059.6542124155815,0.0,6,5,3
0.3,0.1,0.6,OPTIMAL,801.8808213199738,0.0,6,4,2
0.3,0.15,0.4,OPTIMAL,1059.6542124155792,0.008449291135346938,6,5,3
0.3,0.15,0.6,OPTIMAL,801.9381233125202,0.0,6,4,2
0.3,0.2,0.4,OPTIMAL,1059.6542124155817,0.0035961221647137775,6,5,3
0.3,0.2,0.6,OPTIMAL,801.9381233125205,0.009563721399805115,6,4,2
0.3,0.25,0.4,OPTIMAL,1059.6542124155812,0.0,6,5,3
0.3,0.25,0.6,OPTIMAL,801.9379995050626,0.009900933781873381,6,4,2
0.3,0.3,0.4,OPTIMAL,1059.6542124155815,0.007160268284157969,6,5,3
0.3,0.3,0.6,OPTIMAL,801.8388708200284,0.004670818844864315,6,4,2
