psi_delay,psi_error,status,solve_time,gap,total_cost,C1_rental,C2_storage,C2_model,C2_data,C3_robust_delay,C4_unmet,C1_pct,C2_pct,C3_pct,C4_pct,num_allocations,num_gpu_configs,total_gpus,num_unmet_queries,total_unmet_fraction,avg_delay,avg_error,scaled_Delta_i_mean,scaled_epsilon_mean
0.01,0.4,OPTIMAL,0.3881499767303467,0.0,1551.5100358052355,489.17844946108124,36.246968123189305,4.054578529526534,32.19238959366277,41.4085725040861,984.6760457168785,31.52918370954636,2.3362380704406522,2.6689206997359194,63.465657520277055,6,5,27,6,1.7033107422096923,80.8602156406955,0.03185355113457737,19.166666666666668,0.03466666666666667
0.01,0.8,OPTIMAL,0.39267897605895996,0.0,676.7105822118183,477.77138672036614,44.65307243198745,1.90803695507131,42.74503547691614,21.179168268502703,133.10695479096185,70.60202681606923,6.598547976897237,3.129723226623546,19.669701980409968,6,5,26,1,0.2309442776330013,32.79903116154903,0.045242366238865926,19.166666666666668,0.06933333333333334
0.01,1.2,OPTIMAL,0.3869791030883789,0.000257329332757969,530.4731935445576,457.96280234673304,45.424232111755856,1.6695323356873963,43.754699776068456,21.062209707743143,6.023949378325458,86.33099804472326,8.562964663348328,3.9704569361946476,1.1355803557337474,6,5,25,1,0.015957446808497755,29.445468664166945,0.0561098526000869,19.166666666666668,0.10400000000000002
0.01,1.6,OPTIMAL,0.4081239700317383,0.006831596251664711,478.21614476884633,400.9525663073109,44.88989083459515,1.1925230969195688,43.69736773767558,18.28872520298888,14.084962423951445,83.84337724547505,9.386945908380701,3.824363816037419,2.945313030106845,6,3,16,1,0.044590309750885404,25.28255713085652,0.0744674233019565,19.166666666666668,0.1386666666666667
0.01,2.0,OPTIMAL,0.2695639133453369,0.0,442.0181718622411,384.1495230414748,44.959189735994826,1.1925230969195688,43.766666639075254,12.909459084771466,0.0,86.90808376113515,10.17134421116215,2.9205720277027014,0.0,6,3,16,0,0.0,22.78608559518935,0.08265774078787826,19.166666666666668,0.17333333333333334
0.01,2.4,OPTIMAL,0.2220017910003662,0.0,433.6390704933097,296.51366391402416,43.84886895835005,0.7155138581517413,43.133355100198315,10.763226069503647,82.51331155143191,68.37798623097059,10.111835381546083,2.4820701827580605,19.02810820472528,6,3,12,1,0.14316289604310106,16.070440023129272,0.1173261354028053,19.166666666666668,0.20800000000000005
0.01,2.8,OPTIMAL,0.1786050796508789,0.0020734072099723375,370.19105511538845,240.09345190092176,43.122149647019626,0.7155138581517413,42.40663578886789,10.101721420631122,76.87373214681594,64.85663242891829,11.648620097959544,2.728785928520725,20.765961544601456,6,2,10,2,0.1581998232919054,15.40202124000576,0.1184268155162477,19.166666666666668,0.24266666666666667
0.01,3.2,OPTIMAL,0.1348280906677246,0.0,306.97498524132436,240.09345190092176,43.51164107666327,0.7155138581517413,42.79612721851152,10.164491873227867,13.20540039051153,78.21270899717625,14.174327931788044,3.3111792041417267,4.3017838668940005,6,2,10,1,0.05093064112322199,15.128264177934488,0.11804586588300163,19.166666666666668,0.2773333333333334
0.05,0.4,OPTIMAL,0.5694971084594727,0.003702925009440373,1120.100284631571,490.41758035568915,40.126771820154836,3.3390646713747927,36.787707148780044,49.379831420841256,540.1761010348855,43.78336360453651,3.5824267139931614,4.408518781609231,48.22569089986107,6,4,26,5,1.173040249251072,77.85464669597059,0.02853388069556091,95.83333333333333,0.03466666666666667
0.05,0.8,OPTIMAL,0.35105395317077637,9.584847939953154e-05,555.9675818926596,346.3615092151361,44.67848762311431,1.90803695507131,42.770450668043,35.13194145052666,129.79564360388247,62.29886786492669,8.03616776917406,6.3190629444487225,23.345901421450513,6,4,20,1,0.2251990604028491,39.84530839964424,0.0456764018720111,95.83333333333333,0.06933333333333334
0.05,1.2,OPTIMAL,0.3643209934234619,0.0,449.30339537855764,375.5386313081216,45.43619897476265,1.6695323356873963,43.766666639075254,28.32856509567337,0.0,83.58241561733891,10.112587494799739,6.304996887861335,0.0,6,5,25,0,0.0,37.31329896417889,0.05845539711213175,95.83333333333333,0.10400000000000002
0.05,1.6,OPTIMAL,0.3573009967803955,0.009463719610452071,407.9434410418489,340.92161750406916,45.18602056988524,1.4310277163034826,43.754992853581754,15.959384659570839,5.876418308323646,83.57080497075468,11.076540525932815,3.9121562094029705,1.4404982939095259,6,4,21,1,0.01556663688392812,26.743129453577787,0.07684848966973633,95.83333333333333,0.1386666666666667
0.05,2.0,OPTIMAL,0.262174129486084,0.0,369.9901362919646,312.1214874711983,44.959189735994826,1.1925230969195688,43.766666639075254,12.909459084771466,0.0,84.3594076856413,12.151456302747725,3.4891360116109755,0.0,6,3,13,0,0.0,22.78608559518935,0.08265774078787826,95.83333333333333,0.17333333333333334
0.05,2.4,OPTIMAL,0.281170129776001,0.009159171159981105,369.9901362919646,312.1214874711983,44.959189735994826,1.1925230969195688,43.766666639075254,12.909459084771466,0.0,84.3594076856413,12.151456302747725,3.4891360116109755,0.0,6,3,13,0,0.0,22.78608559518935,0.08265774078787826,95.83333333333333,0.20800000000000005
0.05,2.8,OPTIMAL,0.19893908500671387,0.008375040149443494,346.1817099252963,216.0841067108296,43.122149647019626,0.7155138581517413,42.40663578886789,10.101721420631122,76.87373214681597,62.41927303365019,12.456507207248212,2.918040188434856,22.206179570666748,6,2,9,2,0.15819982329190552,15.402021240005759,0.1184268155162477,95.83333333333333,0.24266666666666667
0.05,3.2,OPTIMAL,0.13341712951660156,0.006223499058265007,282.9656400512322,216.0841067108296,43.51164107666325,0.7155138581517413,42.796127218511515,10.164491873227867,13.205400390511558,76.36407963585495,15.377005161752248,3.592129373512466,4.666785828880377,6,2,9,1,0.0509306411232221,15.128264177934488,0.11804586588300163,95.83333333333333,0.2773333333333334
0.1,0.4,OPTIMAL,0.5392251014709473,0.005840982887433252,1096.090939441479,466.408235165597,40.126771820154836,3.3390646713747927,36.787707148780044,49.37983142084124,540.1761010348857,42.55196520493625,3.6608980492623835,4.505085266556724,49.28205147924463,6,4,25,5,1.173040249251073,77.85464669597056,0.02853388069556091,191.66666666666666,0.03466666666666667
