C_gpu_scale,psi_error,status,solve_time,gap,total_cost,C1_rental,C2_storage,C2_model,C2_data,C3_robust_delay,C4_unmet,C1_pct,C2_pct,C3_pct,C4_pct,num_allocations,num_gpu_configs,total_gpus,num_unmet_queries,total_unmet_fraction,avg_delay,avg_error,avg_memory_util,max_memory_util,scaled_C_gpu_mean,scaled_epsilon_mean
0.6,0.6,OPTIMAL,0.42611193656921387,0.003735539874403701,923.4955767993688,439.58927156988176,42.765205282256616,1.90803695507131,40.857168327185306,52.25273498834366,387.52762907620394,47.60058224571046,4.630796980151366,5.658146752520469,41.963127795293715,6,5,29,2,0.6250454785796654,60.65755784315265,0.04390493466138416,5.372681354448867,8.000000000000004,29.759999999999998,0.05200000000000001
0.6,0.8,OPTIMAL,0.32187438011169434,0.0,809.9686892045717,422.78622830404566,43.34175140748626,1.90803695507131,41.43371445241495,51.55268946440028,290.92728414595797,52.19784837846536,5.351040353183275,6.364775595835378,35.91833709419837,6,5,29,1,0.5047669491525422,59.02616556102052,0.045330900369893734,5.440422222222226,8.00000000000002,29.759999999999998,0.06933333333333334
0.6,1.0,OPTIMAL,0.44289517402648926,0.009855718886460465,809.9686892045728,422.78622830404566,43.34175140748616,1.90803695507131,41.43371445241485,51.552689464400025,290.9272841459581,52.197848378465295,5.351040353183255,6.364775595835338,35.918337094198336,6,5,29,1,0.5047669491525424,59.02616556102048,0.045330900369893706,5.440422222222223,8.000000000000004,29.759999999999998,0.08666666666666667
0.6,1.2,OPTIMAL,0.5932416915893555,0.0,788.0246269212823,399.4955378722433,43.02818181783793,1.6695323356873963,41.35864948215053,43.43277283893739,300.70739850958097,50.69581891533319,5.460258518308479,5.511600951942838,38.15964479237263,6,5,25,1,0.5217357202466009,51.8282880236125,0.05022569845804352,4.456286417894057,8.0,29.759999999999998,0.10400000000000002
0.6,1.4,OPTIMAL,0.4918961524963379,0.0,741.0424540819541,406.0679045842337,42.01492977310392,1.4310277163034826,40.58390205680044,21.494316808664394,271.46530291595207,54.7968476498818,5.669706174277751,2.9005513368721614,36.632894838968284,6,5,19,2,0.506433403900933,30.152309051261582,0.06766327591567292,3.339726746802325,8.0,29.759999999999998,0.12133333333333333
0.6,1.6,OPTIMAL,0.2670252323150635,0.0,594.2766757687655,260.470786555651,41.75079846392106,0.7155138581517413,41.03528460576932,24.87560576831103,267.1794849808825,43.82988550218666,7.025481592376409,4.1858627105180535,44.958770194918884,6,4,15,4,0.5416394628108024,28.02884832142725,0.11767586112757206,3.227683252224231,6.566063620075229,29.759999999999998,0.1386666666666667
0.6,1.8,OPTIMAL,0.15555214881896973,0.009959857400537796,503.1631222353996,274.33347364485957,43.23202341516915,0.7155138581517413,42.51650955701741,22.71633458181219,162.88129059355873,54.5217766409589,8.592049278791045,4.514705783860008,32.371468296390056,6,3,17,1,0.2826035803699012,26.4242318979332,0.1168288191930679,4.5703086373277335,6.641666666666667,29.759999999999998,0.156
0.6,2.0,OPTIMAL,0.14818096160888672,0.0,457.14380526289904,274.33347364485957,43.58464071961991,0.7155138581517413,42.86912686146817,22.286436276868216,116.93925462155138,60.01032289764772,9.53412038353113,4.875147824446948,25.58040889437422,6,3,17,1,0.20289286707766804,24.42388608035511,0.11760547814456358,4.467301778100774,7.857666666666667,29.759999999999998,0.17333333333333334
0.8,0.6,OPTIMAL,0.48848676681518555,0.002588420490283239,745.5217504622873,362.6769877021726,43.61499527802793,1.90803695507131,41.70695832295662,49.390208633276735,289.8395588488098,48.647405320808126,5.850264630238207,6.624918535596122,38.87741151335752,6,5,23,2,0.45555395315593666,55.77421425537549,0.04421445779896249,4.2755943491699835,8.000000000000002,39.68,0.05200000000000001
0.8,0.8,OPTIMAL,0.4458749294281006,0.0,671.1269597079128,393.33699140288655,44.19154140325748,1.90803695507131,42.28350444818617,40.359212983204536,193.23921391856405,58.60843253474339,6.5846768281355414,6.013647998997036,28.793242638124006,6,5,29,1,0.3352754237288137,46.76807122589451,0.046508943807557025,5.11765,8.0,39.68,0.06933333333333334
0.8,1.0,OPTIMAL,0.39098596572875977,0.00030386907543587376,608.5084725880829,477.3928958396718,43.32026025257214,1.90803695507131,41.41222329750083,30.33445450141729,57.46086199442148,78.45295790364992,7.119089084877358,4.985050474712382,9.442902536760307,6,4,25,2,0.16137679518695958,34.58235487301292,0.04526812822546999,5.871979166666665,7.999999999999999,39.68,0.08666666666666667
0.8,1.2,OPTIMAL,0.5714461803436279,0.0,607.46952873899,386.8493442369203,44.31543133709765,1.6695323356873963,42.64589900141026,30.281439856315014,146.02331330865698,63.68209859677372,7.295087118046798,4.98484918563314,24.03796509954633,6,5,25,1,0.2533545197740116,43.723260003661665,0.05770015727765679,3.9984833333333327,8.0,39.68,0.10400000000000002
0.8,1.4,OPTIMAL,0.6248409748077393,0.0,585.791736159161,370.0463009710842,44.31543133709765,1.6695323356873963,42.64589900141026,25.40669054232209,146.02331330865704,63.17028358872952,7.565048907596239,4.337154140975971,24.927513362698267,6,5,25,1,0.2533545197740117,41.61087695214094,0.06213115053551924,3.9984833333333327,8.0,39.68,0.12133333333333333
0.8,1.6,OPTIMAL,0.35483479499816895,0.007496703004931834,512.5505185729984,436.9589982644379,44.04951601866638,1.1925230969195688,42.85699292174681,13.447175889948907,18.094828399945218,85.25188882473161,8.594180363197266,2.6235805842880513,3.530350227783082,6,4,25,2,0.06269064986878747,19.50754902253974,0.10070129756531469,5.088636928764106,7.9125,39.68,0.1386666666666667
