psi_delay,psi_error,status,solve_time,gap,total_cost,C1_rental,C2_storage,C2_model,C2_data,C3_robust_delay,C4_unmet,C1_pct,C2_pct,C3_pct,C4_pct,num_allocations,num_gpu_configs,total_gpus,num_unmet_queries,total_unmet_fraction,avg_delay,avg_error,scaled_Delta_i_mean,scaled_epsilon_mean
0.01,0.4,OPTIMAL,0.37227892875671387,0.0,1551.5100358052355,489.17844946108124,36.246968123189305,4.054578529526534,32.19238959366277,41.4085725040861,984.6760457168785,31.52918370954636,2.3362380704406522,2.6689206997359194,63.465657520277055,6,5,27,6,1.7033107422096923,80.8602156406955,0.03185355113457737,19.166666666666668,0.03466666666666667
0.01,0.5,OPTIMAL,0.5194339752197266,0.005567492409774297,926.8278122261721,465.7051908507585,41.1754885230977,2.146541574455224,39.02894694864248,25.95307152234234,393.9940613299735,50.24721795218564,4.4426254779943655,2.800204221321863,42.50995234849813,6,5,28,3,0.7769836883270009,39.62120016388627,0.037617300757587936,19.166666666666668,0.043333333333333335
0.01,0.6,OPTIMAL,0.4171102046966553,0.00792374345082223,820.54197558739,401.8671437677747,43.15315931446708,1.90803695507131,41.24512235939577,21.045322141568075,354.47635036357997,48.97581790134449,5.259104421023145,2.5648075013472225,43.20027017628512,6,5,19,3,0.5732063152186904,32.72643896301869,0.0438266387655123,19.166666666666668,0.05200000000000001
0.01,0.7,OPTIMAL,0.4966239929199219,0.0,697.0752155581936,457.3727783204133,44.316505042300264,1.90803695507131,42.408468087228954,18.42806331481479,176.9578688806651,65.61311722353594,6.35749257084304,2.643626240542527,25.38576396507849,6,4,18,1,0.3070268361581924,27.158793105632324,0.04462272537453138,19.166666666666668,0.06066666666666667
0.01,0.8,OPTIMAL,0.39426612854003906,0.0,676.7105822118183,477.77138672036614,44.65307243198745,1.90803695507131,42.74503547691614,21.179168268502703,133.10695479096185,70.60202681606923,6.598547976897237,3.129723226623546,19.669701980409968,6,5,26,1,0.2309442776330013,32.79903116154903,0.045242366238865926,19.166666666666668,0.06933333333333334
0.01,0.9,OPTIMAL,0.35245275497436523,0.0,621.90620128729,477.77138672036614,45.07833263948189,1.90803695507131,43.17029568441058,21.356109580313152,77.70037234712873,76.82370520368221,7.248413433757984,3.433975981604288,12.49390538095551,6,5,26,1,0.1348123123371261,32.74129632080623,0.04402157280977546,19.166666666666668,0.078
0.01,1.0,OPTIMAL,0.40784621238708496,0.0,567.0261431459492,477.77138672036614,45.50359284697633,1.90803695507131,43.59555589190502,21.457373675310457,22.293789903295977,84.25914616028393,8.024955003752618,3.7841947738532147,3.931704062110182,6,5,26,1,0.03868034704125156,32.304482709540714,0.04386935405367639,19.166666666666668,0.08666666666666667
0.01,1.1,OPTIMAL,0.30907273292541504,0.0,544.9442093373802,477.77138672036614,45.674703594146564,1.90803695507131,43.766666639075254,21.49811902286742,0.0,87.67344959978706,8.381537561374271,3.9450128388386503,0.0,6,5,26,0,0.0,32.13267234178012,0.04380948238349267,19.166666666666668,0.09533333333333334
0.01,1.2,OPTIMAL,0.4111826419830322,0.000257329332757969,530.4731935445576,457.96280234673304,45.424232111755856,1.6695323356873963,43.754699776068456,21.062209707743143,6.023949378325458,86.33099804472326,8.562964663348328,3.9704569361946476,1.1355803557337474,6,5,25,1,0.015957446808497755,29.445468664166945,0.0561098526000869,19.166666666666668,0.10400000000000002
0.01,1.3,OPTIMAL,0.5562071800231934,0.0037821391691442766,530.4731935445617,457.96280234673304,45.424232111755856,1.6695323356873963,43.75469977606846,21.06220970774315,6.0239493783296485,86.33099804472259,8.562964663348263,3.9704569361946183,1.1355803557345288,6,5,25,1,0.015957446808508857,29.445468664166906,0.05610985260008688,19.166666666666668,0.11266666666666669
0.01,1.4,OPTIMAL,0.3376917839050293,0.005076131402344304,508.79540096473335,441.1597590808969,45.424232111755856,1.6695323356873963,43.75469977606846,16.18746039375022,6.023949378330319,86.70671123292551,8.927799273662144,3.1815264766656646,1.1839630167466595,6,5,25,1,0.015957446808510634,27.416887415349873,0.06036506087306726,19.166666666666668,0.12133333333333333
0.03,0.4,OPTIMAL,0.8639092445373535,0.0,1282.785253640305,493.2907472765479,38.96225220164208,3.3390646713747927,35.62318753026729,40.389835336143065,710.1424188259716,38.45466307604339,3.0373168144141416,3.1486045868959174,55.35941552264653,6,4,22,5,1.5406476067275072,74.37733622636483,0.029467612446913597,57.5,0.03466666666666667
0.03,0.5,OPTIMAL,0.6884851455688477,0.0,845.7872886985906,411.18324286115654,41.43169184010631,2.146541574455224,39.28515026565109,32.5586794424352,360.6136745548923,48.615443664782724,4.898594764158384,3.8495115589326367,42.636450012126225,6,4,22,3,0.7190677866148344,43.509130892257,0.03672345594413281,57.5,0.043333333333333335
