p_c_scale,delta_scale,status,solve_time,gap,total_cost,C1_rental,C2_storage,C2_model,C2_data,C3_robust_delay,C4_unmet,C1_pct,C2_pct,C3_pct,C4_pct,num_allocations,num_gpu_configs,total_gpus,num_unmet_queries,total_unmet_fraction,avg_delay,avg_error,budget_threshold,budget_utilization,budget_slack,scaled_p_c_mean,scaled_delta
0.5,0.5,OPTIMAL,0.25967884063720703,0.0,292.1264320006275,202.8716755750448,45.50359284697633,1.90803695507131,43.59555589190502,21.457373675310457,22.293789903295977,69.44653182722233,15.576677719761623,7.3452352559676495,7.631555197048409,6.0,5.0,23.0,1.0,0.03868034704125156,32.304482709540714,0.04386935405367639,1500.0,0.194750954667085,1207.8735679993724,0.5782153383556619,1500.0
0.5,0.7,OPTIMAL,0.25994300842285156,0.0,292.1264320006275,202.8716755750448,45.50359284697633,1.90803695507131,43.59555589190502,21.457373675310457,22.293789903295977,69.44653182722233,15.576677719761623,7.3452352559676495,7.631555197048409,6.0,5.0,23.0,1.0,0.03868034704125156,32.304482709540714,0.04386935405367639,2100.0,0.13910782476220357,1807.8735679993724,0.5782153383556619,2100.0
0.5,0.9,OPTIMAL,0.2866549491882324,0.0,292.1264320006276,202.8716755750448,45.50359284697633,1.90803695507131,43.59555589190502,21.457373675310457,22.293789903296013,69.44653182722233,15.57667771976162,7.345235255967649,7.63155519704842,6.0,5.0,23.0,1.0,0.038680347041251624,32.304482709540714,0.04386935405367639,2700.0,0.10819497481504725,2407.8735679993724,0.5782153383556619,2700.0
0.5,1.0,OPTIMAL,0.31395506858825684,0.0,292.1264320006276,202.8716755750448,45.50359284697633,1.90803695507131,43.59555589190502,21.457373675310457,22.293789903296013,69.44653182722233,15.57667771976162,7.345235255967649,7.63155519704842,6.0,5.0,23.0,1.0,0.038680347041251624,32.304482709540714,0.04386935405367639,3000.0,0.09737547733354253,2707.8735679993724,0.5782153383556619,3000.0
0.5,1.1,OPTIMAL,0.30080509185791016,0.0,292.1264320006276,202.8716755750448,45.50359284697633,1.90803695507131,43.59555589190502,21.457373675310457,22.293789903296013,69.44653182722233,15.57667771976162,7.345235255967649,7.63155519704842,6.0,5.0,23.0,1.0,0.038680347041251624,32.304482709540714,0.04386935405367639,3300.0000000000005,0.08852316121231138,3007.873567999373,0.5782153383556619,3300.0000000000005
0.5,1.3,OPTIMAL,0.2980008125305176,0.0,292.1264320006276,202.8716755750448,45.50359284697633,1.90803695507131,43.59555589190502,21.457373675310457,22.293789903296013,69.44653182722233,15.57667771976162,7.345235255967649,7.63155519704842,6.0,5.0,23.0,1.0,0.038680347041251624,32.304482709540714,0.04386935405367639,3900.0,0.07490421333349424,3607.8735679993724,0.5782153383556619,3900.0
0.5,1.5,OPTIMAL,0.2910270690917969,0.0,292.1264320006276,202.8716755750448,45.50359284697633,1.90803695507131,43.59555589190502,21.457373675310457,22.293789903296013,69.44653182722233,15.57667771976162,7.345235255967649,7.63155519704842,6.0,5.0,23.0,1.0,0.038680347041251624,32.304482709540714,0.04386935405367639,4500.0,0.06491698488902835,4207.873567999372,0.5782153383556619,4500.0
0.5,2.0,OPTIMAL,0.29314112663269043,0.0,292.1264320006276,202.8716755750448,45.50359284697633,1.90803695507131,43.59555589190502,21.457373675310457,22.293789903296013,69.44653182722233,15.57667771976162,7.345235255967649,7.63155519704842,6.0,5.0,23.0,1.0,0.038680347041251624,32.304482709540714,0.04386935405367639,6000.0,0.048687738666771264,5707.873567999372,0.5782153383556619,6000.0
0.7,0.5,OPTIMAL,0.49799299240112305,0.0,402.710249591094,225.6465148175307,44.94132323751421,1.90803695507131,43.0332862824429,36.57126784487918,95.55114369116983,56.03197709684539,11.159716764881688,9.081285584862343,23.727020553410558,6.0,4.0,19.0,1.0,0.16578389830508466,40.543079074236246,0.04551748272651962,1500.0,0.268473499727396,1097.289750408906,0.8095014736979266,1500.0
0.7,0.7,OPTIMAL,0.36043310165405273,0.0,373.27510223064553,284.0203458050627,45.50359284697633,1.90803695507131,43.59555589190502,21.457373675310457,22.293789903295977,76.08874637172221,12.190363775953053,5.748407420447778,5.972482431876936,6.0,5.0,23.0,1.0,0.03868034704125156,32.304482709540714,0.04386935405367639,2100.0,0.17775004868125976,1726.7248977693544,0.8095014736979266,2100.0
0.7,0.9,OPTIMAL,0.3581411838531494,0.008786395261968472,373.27510223064553,284.0203458050627,45.50359284697633,1.90803695507131,43.59555589190502,21.457373675310457,22.293789903295977,76.08874637172221,12.190363775953053,5.748407420447778,5.972482431876936,6.0,5.0,23.0,1.0,0.03868034704125156,32.304482709540714,0.04386935405367639,2700.0,0.13825003786320206,2326.7248977693544,0.8095014736979266,2700.0
0.7,1.0,OPTIMAL,0.3575868606567383,0.001605123265553032,373.27510223064553,284.0203458050627,45.50359284697633,1.90803695507131,43.59555589190502,21.457373675310457,22.293789903295977,76.08874637172221,12.190363775953053,5.748407420447778,5.972482431876936,6.0,5.0,23.0,1.0,0.03868034704125156,32.304482709540714,0.04386935405367639,3000.0,0.12442503407688184,2626.7248977693544,0.8095014736979266,3000.0
0.7,1.1,OPTIMAL,0.36145877838134766,0.0,373.27510223064553,284.0203458050627,45.50359284697633,1.90803695507131,43.59555589190502,21.457373675310457,22.293789903295977,76.08874637172221,12.190363775953053,5.748407420447778,5.972482431876936,6.0,5.0,23.0,1.0,0.03868034704125156,32.304482709540714,0.04386935405367639,3300.0000000000005,0.11311366734261984,2926.724897769355,0.8095014736979266,3300.0000000000005
