gpu_cost_scale,psi_error,status,solve_time,gap,total_cost,C1_rental,C2_storage,C2_model,C2_data,C3_robust_delay,C4_unmet,C1_pct,C2_pct,C3_pct,C4_pct,num_allocations,num_gpu_configs,total_gpus,num_unmet_queries,total_unmet_fraction,avg_delay,avg_error,scaled_epsilon_mean,scaled_gpu_cost_mean,num_tp_configs,avg_tp_degree,tp_1_count,tp_2_count,tp_4_count,tp_8_count
0.5,0.4,OPTIMAL,0.41167593002319336,0.0,823.3823265180483,364.2468941634372,44.88619160425113,3.935326219834577,40.95086538441655,66.41173477925885,347.837505971101,44.237881046558144,5.451439769671476,8.065722646744607,42.24495653702575,6,5,33,3,0.6408417789532799,92.04068325102872,0.025019047670770917,0.03466666666666667,0.5782153383556619,5,7.787878787878788,1,0,0,4
0.5,0.5,OPTIMAL,0.33841991424560547,0.0,584.2174967705927,209.5485998576375,42.009105425384476,2.146541574455224,39.86256385092925,47.27655903163954,285.38323245593114,35.8682512961302,7.190661980786306,8.092287425996734,48.84879929708676,6,5,25,3,0.5885408721208422,55.82443530086611,0.03656300731823398,0.043333333333333335,0.5782153383556619,5,6.44,1,0,2,2
0.5,0.6,OPTIMAL,0.36313700675964355,0.0,472.262457071328,209.5485998576375,44.65018942652894,2.146541574455224,42.50364785207372,53.50664289549123,164.55702489167038,44.3712170467932,9.454528675309291,11.32985315565956,34.84440112223796,6,5,25,1,0.28551102609721124,59.007491971131834,0.03788653147812435,0.05200000000000001,0.5782153383556619,5,6.44,1,0,2,2
0.5,0.7,OPTIMAL,0.2834618091583252,0.0,392.1064648192112,165.37684282898098,44.54778741023726,1.90803695507131,42.63975045516595,35.357435422270505,146.8243991577225,42.17651522405564,11.36114586398797,9.017304889010891,37.44503402294551,6,4,19,1,0.25474442605670733,39.945145930557814,0.04449030761132916,0.06066666666666667,0.5782153383556619,4,7.0,1,1,0,2
0.5,0.8,OPTIMAL,0.2320859432220459,0.0,338.23981678608516,161.17608201252196,44.94132323751421,1.90803695507131,43.0332862824429,36.57126784487917,95.55114369116988,47.651421865112766,13.286822250715888,10.812230266789713,28.24952561738165,6,4,19,1,0.16578389830508478,40.54307907423624,0.04551748272651962,0.06933333333333334,0.5782153383556619,4,7.0,1,1,0,2
0.5,0.9,OPTIMAL,0.29430294036865234,0.0,320.7193128153739,211.27319720796285,43.951130726216775,1.90803695507131,42.043093771145465,22.085527782978584,43.409457098215725,65.87479729653354,13.703923951570014,6.886248161704062,13.535030590192404,6,5,23,2,0.12013714841074499,36.75764891277357,0.04327257239394419,0.078,0.5782153383556619,5,6.478260869565218,1,1,1,2
0.5,1.0,OPTIMAL,0.29811906814575195,0.0,292.1264320006276,202.8716755750448,45.50359284697633,1.90803695507131,43.59555589190502,21.457373675310457,22.293789903296013,69.44653182722233,15.57667771976162,7.345235255967649,7.63155519704842,6,5,23,1,0.038680347041251624,32.304482709540714,0.04386935405367639,0.08666666666666667,0.5782153383556619,5,6.478260869565218,1,1,1,2
0.5,1.1,OPTIMAL,0.2648589611053467,0.0,270.04449819205877,202.8716755750448,45.674703594146564,1.90803695507131,43.766666639075254,21.49811902286742,0.0,75.12527636491973,16.913769360211955,7.960954274868326,0.0,6,5,23,0,0.0,32.13267234178012,0.04380948238349267,0.09533333333333334,0.5782153383556619,5,6.478260869565218,1,1,1,2
0.5,1.2,OPTIMAL,0.3114449977874756,0.0,261.5340797244968,187.7693156540608,45.43619897476265,1.6695323356873963,43.766666639075254,28.328565095673383,0.0,71.795352961977,17.37295538027996,10.831691657743052,0.0,6,5,25,0,0.0,37.31329896417889,0.05845539711213175,0.10400000000000002,0.5782153383556619,5,6.44,1,0,2,2
0.5,1.3,OPTIMAL,0.30536890029907227,0.0,262.13363604197644,187.93159237113284,45.43619897476265,1.6695323356873963,43.766666639075254,28.76584469608104,0.0,71.69304756488353,17.33321967406227,10.973732761054235,0.0,6,5,21,0,0.0,37.58400402010083,0.05808740683498705,0.11266666666666669,0.5782153383556619,5,5.380952380952381,1,0,3,1
0.5,1.4,OPTIMAL,0.37696099281311035,0.0,248.25780877758578,179.36779402114274,45.43619897476265,1.6695323356873963,43.766666639075254,23.453815781680454,0.0,72.25061515863067,18.302022078777366,9.447362762591984,0.0,6,5,25,0,0.0,35.290112878257645,0.06269928834183293,0.12133333333333333,0.5782153383556619,5,6.44,1,0,2,2
0.6,0.4,OPTIMAL,0.6841869354248047,0.0,876.9725385198063,301.6877641646789,43.28819948842329,2.7428031229150083,40.54539636550828,68.3640351776013,463.63253968910254,34.4010503081295,4.936095212455234,7.795459056561701,52.867395422853534,6,4,25,4,0.9784902781556079,101.25954793055676,0.030344842639318154,0.03466666666666667,0.6938584060267943,4,7.72,1,0,0,3
0.6,0.5,OPTIMAL,0.3955659866333008,0.0,626.1272167421183,251.458319829165,42.00910542538449,2.146541574455224,39.86256385092926,47.276559031639586,285.383232455929,40.160899112094114,6.7093562301871135,7.55063152782756,45.57911312989117,6,5,25,3,0.5885408721208356,55.824435300866085,0.03656300731823395,0.043333333333333335,0.6938584060267943,5,6.44,1,0,2,2
0.6,0.6,OPTIMAL,0.4283599853515625,0.0,514.1721770428801,251.458319829165,44.65018942652894,2.146541574455224,42.50364785207372,53.50664289549121,164.55702489169468,48.905470007217886,8.683898394370972,10.406366832841861,32.004264765569225,6,5,25,1,0.28551102609725343,59.007491971131834,0.03788653147812435,0.05200000000000001,0.6938584060267943,5,6.44,1,0,2,2
0.6,0.7,OPTIMAL,0.2784719467163086,0.0,425.18183338500734,198.45221139477715,44.54778741023726,1.90803695507131,42.63975045516595,35.357435422270505,146.82439915772244,46.67466853295123,10.477349668394393,8.315838694418986,34.532143104235395,6,4,19,1,0.2547444260567072,39.94514593055782,0.04449030761132916,0.06066666666666667,0.6938584060267943,4,7.0,1,1,0,2
0.6,0.8,OPTIMAL,0.2733592987060547,0.0,370.47503318858963,193.41129841502632,44.941323237514204,1.90803695507131,43.033286282442894,36.571267844879166,95.55114369117001,52.206297614816776,12.130729256089143,9.87145274814312,25.791520380950985,6,4,19,1,0.165783898305085,40.54307907423624,0.04551748272651962,0.06933333333333334,0.6938584060267943,4,7.0,1,1,0,2
0.6,0.9,OPTIMAL,0.3105740547180176,0.0,362.9739522569667,253.52783664955538,43.951130726216775,1.90803695507131,42.043093771145465,22.08552778297865,43.409457098215746,69.84739127232767,12.108618387884114,6.084604045455924,11.959386294332246,6,5,23,2,0.12013714841074508,36.75764891277356,0.04327257239394419,0.078,0.6938584060267943,5,6.478260869565218,1,1,1,2
0.6,1.0,OPTIMAL,0.2968277931213379,0.0,332.70076711563667,243.44601069005373,45.50359284697633,1.90803695507131,43.59555589190502,21.457373675310457,22.293789903295977,73.17266287078901,13.677032740703199,6.449451217481722,6.700853171026003,6,5,23,1,0.03868034704125156,32.304482709540714,0.04386935405367639,0.08666666666666667,0.6938584060267943,5,6.478260869565218,1,1,1,2
0.6,1.1,OPTIMAL,0.2889280319213867,0.0,310.61883330706786,243.44601069005373,45.674703594146564,1.90803695507131,43.766666639075254,21.49811902286742,0.0,78.37451712059931,14.70442184971895,6.921061029681695,0.0,6,5,23,0,0.0,32.13267234178012,0.04380948238349267,0.09533333333333334,0.6938584060267943,5,6.478260869565218,1,1,1,2
