p_c_scale,delta_scale,status,solve_time,gap,total_cost,C1_rental,C2_storage,C2_model,C2_data,C3_robust_delay,C4_unmet,C1_pct,C2_pct,C3_pct,C4_pct,num_allocations,num_gpu_configs,total_gpus,num_unmet_queries,total_unmet_fraction,avg_delay,avg_error,budget_threshold,budget_utilization,budget_slack,scaled_p_c_mean,scaled_delta
0.5,0.3,OPTIMAL,0.3018929958343506,0.0,497.07577074303356,142.7459943547723,43.52403387136597,1.90803695507131,41.61599691629466,58.3789953832763,252.42674713361902,28.717149930964098,8.756015970423551,11.74448621706321,50.78234788154915,6.0,5.0,25.0,2.0,0.4448410152763636,62.32687472966989,0.046654963145913324,900.0,0.5523064119367039,402.92422925696644,0.5782153383556619,900.0
0.5,0.35,OPTIMAL,0.33704304695129395,0.0,338.2398167860852,161.17608201252196,44.941323237514204,1.90803695507131,43.033286282442894,36.57126784487917,95.55114369116994,47.651421865112766,13.286822250715883,10.812230266789712,28.24952561738166,6.0,4.0,19.0,1.0,0.1657838983050849,40.54307907423624,0.04551748272651962,1050.0,0.32213315884389065,711.7601832139148,0.5782153383556619,1050.0
0.5,0.4,OPTIMAL,0.41092824935913086,0.0,310.7360489566051,191.96617385965698,45.50359284697633,1.90803695507131,43.59555589190502,50.97249234667586,22.293789903295977,61.77788978917778,14.643808788767537,16.403791101107252,7.1745103209474586,6.0,5.0,25.0,1.0,0.03868034704125156,48.797044992342556,0.04386935405367639,1200.0,0.2589467074638376,889.2639510433949,0.5782153383556619,1200.0
0.5,0.45,OPTIMAL,0.3058907985687256,0.0,292.1264320006275,202.8716755750448,45.50359284697633,1.90803695507131,43.59555589190502,21.457373675310457,22.293789903295977,69.44653182722233,15.576677719761623,7.3452352559676495,7.631555197048409,6.0,5.0,23.0,1.0,0.03868034704125156,32.304482709540714,0.04386935405367639,1350.0,0.21638994963009445,1057.8735679993724,0.5782153383556619,1350.0
0.5,0.5,OPTIMAL,0.25963807106018066,0.0,292.1264320006275,202.8716755750448,45.50359284697633,1.90803695507131,43.59555589190502,21.457373675310457,22.293789903295977,69.44653182722233,15.576677719761623,7.3452352559676495,7.631555197048409,6.0,5.0,23.0,1.0,0.03868034704125156,32.304482709540714,0.04386935405367639,1500.0,0.194750954667085,1207.8735679993724,0.5782153383556619,1500.0
0.55,0.3,OPTIMAL,0.2668478488922119,0.0,597.6853849181024,142.6956181624644,42.642589758126036,1.6695323356873963,40.97305742243864,48.371576530708154,363.9756004668039,23.874704278073857,7.134621463760424,8.093150301364028,60.897523956801706,6.0,4.0,19.0,1.0,0.6315078145830406,48.099289110286,0.050985644757613066,900.0,0.6640948721312249,302.3146150818976,0.6360368721912281,900.0
0.55,0.35,OPTIMAL,0.23772096633911133,0.0,363.8496912526929,167.27008192734377,44.94132323751421,1.90803695507131,43.0332862824429,56.08714239666506,95.55114369116988,45.97230283512184,12.351617802061718,15.414920981123673,26.26115838169279,6.0,4.0,25.0,1.0,0.16578389830508478,55.46287193566761,0.047825169118408735,1050.0,0.3465235154787551,686.1503087473071,0.6360368721912281,1050.0
0.55,0.4,OPTIMAL,0.4000270366668701,0.0,354.35742498733737,177.29369021377417,44.94132323751421,1.90803695507131,43.0332862824429,36.57126784487917,95.55114369116988,50.03244682120308,12.682483861914323,10.320446325115388,26.96462299176723,6.0,4.0,19.0,1.0,0.16578389830508478,40.543079074236246,0.04551748272651962,1200.0,0.2952978541561145,845.6425750126626,0.6360368721912281,1200.0
0.55,0.45,OPTIMAL,0.3893623352050781,0.0,318.830201313314,216.34393101548585,45.50359284697633,1.90803695507131,43.59555589190502,34.688887547555765,22.293789903295977,67.85553254501288,14.272045954097056,10.880050699295907,6.992370801594139,6.0,5.0,29.0,1.0,0.03868034704125156,41.86889386673144,0.0454966151405987,1350.0,0.23617051949134368,1031.1697986866861,0.6360368721912281,1350.0
0.55,0.5,OPTIMAL,0.2667427062988281,0.0,312.41359955813215,223.15884313254932,45.50359284697634,1.90803695507131,43.59555589190503,21.457373675310457,22.29378990329593,71.43057902990718,14.565176711684503,6.868258521927049,7.13598573648124,6.0,5.0,23.0,1.0,0.038680347041251485,32.304482709540714,0.04386935405367639,1500.0,0.20827573303875477,1187.586400441868,0.6360368721912281,1500.0
