p_c_scale,delta_scale,status,solve_time,gap,total_cost,C1_rental,C2_storage,C2_model,C2_data,C3_robust_delay,C4_unmet,C1_pct,C2_pct,C3_pct,C4_pct,num_allocations,num_gpu_configs,total_gpus,num_unmet_queries,total_unmet_fraction,avg_delay,avg_error,budget_threshold,budget_utilization,budget_slack,scaled_p_c_mean,scaled_delta
0.01,0.05,OPTIMAL,0.1655738353729248,0.0,68.5575362399053,4.897836451434236,45.674703594146564,1.90803695507131,43.766666639075254,17.98499619432452,0.0,7.144125533180043,66.62244021476471,26.233434252055265,0.0,6.0,4.0,19.0,0.0,0.0,25.77001309021033,0.04509069978681198,150.0,0.4570502415993687,81.4424637600947,0.011564306767113237,150.0
0.01,0.1,OPTIMAL,0.14516305923461914,0.0,68.5575362399053,4.897836451434236,45.674703594146564,1.90803695507131,43.766666639075254,17.98499619432452,0.0,7.144125533180043,66.62244021476471,26.233434252055265,0.0,6.0,4.0,19.0,0.0,0.0,25.77001309021033,0.04509069978681198,300.0,0.22852512079968434,231.4424637600947,0.011564306767113237,300.0
0.01,0.5,OPTIMAL,0.1338820457458496,0.0,68.5575362399053,4.897836451434236,45.674703594146564,1.90803695507131,43.766666639075254,17.984996194324516,0.0,7.144125533180043,66.62244021476471,26.23343425205526,0.0,6.0,4.0,19.0,0.0,0.0,25.77001309021033,0.04509069978681198,1500.0,0.045705024159936866,1431.4424637600946,0.011564306767113237,1500.0
0.01,0.7,OPTIMAL,0.15403223037719727,0.0,68.5575362399053,4.897836451434236,45.674703594146564,1.90803695507131,43.766666639075254,17.984996194324516,0.0,7.144125533180043,66.62244021476471,26.23343425205526,0.0,6.0,4.0,19.0,0.0,0.0,25.77001309021033,0.04509069978681198,2100.0,0.032646445828526334,2031.4424637600946,0.011564306767113237,2100.0
0.01,0.9,OPTIMAL,0.13527727127075195,0.0,68.5575362399053,4.897836451434236,45.674703594146564,1.90803695507131,43.766666639075254,17.984996194324516,0.0,7.144125533180043,66.62244021476471,26.23343425205526,0.0,6.0,4.0,19.0,0.0,0.0,25.77001309021033,0.04509069978681198,2700.0,0.025391680088853816,2631.4424637600946,0.011564306767113237,2700.0
0.05,0.05,OPTIMAL,0.4295046329498291,0.0,193.18134297481546,16.117608201252196,44.94132323751421,1.90803695507131,43.0332862824429,36.57126784487917,95.55114369116988,8.343253004175152,23.263801020046273,18.93105580576012,49.46189017001845,6.0,4.0,19.0,1.0,0.16578389830508478,40.54307907423624,0.04551748272651962,150.0,1.287875619832103,-43.181342974815465,0.05782153383556619,150.0
0.05,0.1,OPTIMAL,0.16024303436279297,0.004019614629948572,88.22455926245543,24.489182257171176,45.674703594146564,1.90803695507131,43.766666639075254,18.060673411137657,0.0,27.75778361705312,51.77096261628337,20.471253766663473,0.0,6.0,4.0,19.0,0.0,0.0,26.148498098901968,0.04406813301087198,300.0,0.2940818642081848,211.77544073754456,0.05782153383556619,300.0
0.05,0.5,OPTIMAL,0.16982102394104004,0.0,88.1488820456423,24.489182257171176,45.674703594146564,1.90803695507131,43.766666639075254,17.984996194324516,0.0,27.781614115640185,51.815408810853455,20.40297707350631,0.0,6.0,4.0,19.0,0.0,0.0,25.77001309021033,0.04509069978681198,1500.0,0.058765921363761534,1411.8511179543577,0.05782153383556619,1500.0
0.05,0.7,OPTIMAL,0.19297528266906738,0.0,88.1488820456423,24.489182257171176,45.674703594146564,1.90803695507131,43.766666639075254,17.984996194324516,0.0,27.781614115640185,51.815408810853455,20.40297707350631,0.0,6.0,4.0,19.0,0.0,0.0,25.77001309021033,0.04509069978681198,2100.0,0.04197565811697252,2011.8511179543577,0.05782153383556619,2100.0
0.05,0.9,OPTIMAL,0.17142987251281738,0.0,88.1488820456423,24.489182257171176,45.674703594146564,1.90803695507131,43.766666639075254,17.984996194324516,0.0,27.781614115640185,51.815408810853455,20.40297707350631,0.0,6.0,4.0,19.0,0.0,0.0,25.77001309021033,0.04509069978681198,2700.0,0.032647734090978625,2611.8511179543575,0.05782153383556619,2700.0
0.1,0.05,INFEASIBLE,0.08103299140930176,,,,,,,,,,,,,,,,,,,,,,,,
0.1,0.1,OPTIMAL,0.2383580207824707,0.007024293210008473,130.10680528558206,42.25463944159257,44.08430984984471,1.90803695507131,42.1762728947734,22.128563733484135,21.639292260660614,32.47688646942365,33.883169871922114,17.007998686088975,16.631944972565243,6.0,5.0,23.0,1.0,0.0834585090717972,36.53318015670821,0.043179149732358146,300.0,0.43368935095194017,169.89319471441794,0.11564306767113237,300.0
0.1,0.5,OPTIMAL,0.19992375373840332,0.00774633947683828,112.63806430281346,48.97836451434235,45.674703594146564,1.90803695507131,43.766666639075254,17.984996194324516,0.0,43.48296006105902,40.54997205150453,15.967067887436423,0.0,6.0,4.0,19.0,0.0,0.0,25.77001309021033,0.04509069978681198,1500.0,0.0750920428685423,1387.3619356971865,0.11564306767113237,1500.0
0.1,0.7,OPTIMAL,0.215317964553833,0.00774633947683828,112.63806430281346,48.97836451434235,45.674703594146564,1.90803695507131,43.766666639075254,17.984996194324516,0.0,43.48296006105902,40.54997205150453,15.967067887436423,0.0,6.0,4.0,19.0,0.0,0.0,25.77001309021033,0.04509069978681198,2100.0,0.05363717347753022,1987.3619356971865,0.11564306767113237,2100.0
0.1,0.9,OPTIMAL,0.1876082420349121,0.0,112.63806430281346,48.97836451434235,45.674703594146564,1.90803695507131,43.766666639075254,17.984996194324516,0.0,43.48296006105902,40.54997205150453,15.967067887436423,0.0,6.0,4.0,19.0,0.0,0.0,25.77001309021033,0.04509069978681198,2700.0,0.04171780159363461,2587.3619356971867,0.11564306767113237,2700.0
0.5,0.05,INFEASIBLE,0.07886791229248047,,,,,,,,,,,,,,,,,,,,,,,,
0.5,0.1,INFEASIBLE,0.08413290977478027,,,,,,,,,,,,,,,,,,,,,,,,
0.5,0.5,OPTIMAL,0.25370073318481445,0.0,292.1264320006275,202.8716755750448,45.50359284697633,1.90803695507131,43.59555589190502,21.457373675310457,22.293789903295977,69.44653182722233,15.576677719761623,7.3452352559676495,7.631555197048409,6.0,5.0,23.0,1.0,0.03868034704125156,32.304482709540714,0.04386935405367639,1500.0,0.194750954667085,1207.8735679993724,0.5782153383556619,1500.0
0.5,0.7,OPTIMAL,0.2776191234588623,0.0,292.1264320006275,202.8716755750448,45.50359284697633,1.90803695507131,43.59555589190502,21.457373675310457,22.293789903295977,69.44653182722233,15.576677719761623,7.3452352559676495,7.631555197048409,6.0,5.0,23.0,1.0,0.03868034704125156,32.304482709540714,0.04386935405367639,2100.0,0.13910782476220357,1807.8735679993724,0.5782153383556619,2100.0
0.5,0.9,OPTIMAL,0.28175997734069824,0.0,292.1264320006276,202.8716755750448,45.50359284697633,1.90803695507131,43.59555589190502,21.457373675310457,22.293789903296013,69.44653182722233,15.57667771976162,7.345235255967649,7.63155519704842,6.0,5.0,23.0,1.0,0.038680347041251624,32.304482709540714,0.04386935405367639,2700.0,0.10819497481504725,2407.8735679993724,0.5782153383556619,2700.0
1.0,0.05,INFEASIBLE,0.07510113716125488,,,,,,,,,,,,,,,,,,,,,,,,
1.0,0.1,INFEASIBLE,0.10023880004882812,,,,,,,,,,,,,,,,,,,,,,,,
1.0,0.5,OPTIMAL,0.3364417552947998,0.0,984.4020210395356,241.0981097572636,40.67527703224417,1.6695323356873963,39.00574469655677,27.93546705584799,674.6931671941798,24.49183408854263,4.131978212447267,2.8378108190338676,68.53837687997623,6.0,4.0,15.0,2.0,1.0507732248330766,40.343758725342404,0.05183857425105384,1500.0,0.656268014026357,515.5979789604644,1.1564306767113237,1500.0
1.0,0.7,OPTIMAL,0.3454577922821045,0.00812461538051517,499.4158987986073,322.3521640250439,44.94132323751421,1.90803695507131,43.0332862824429,36.57126784487917,95.55114369116988,64.54583540501872,8.998777040463642,7.322808090982857,19.13257946353476,6.0,4.0,19.0,1.0,0.16578389830508478,40.54307907423624,0.04551748272651962,2100.0,0.23781709466600348,1600.5841012013927,1.1564306767113237,2100.0
1.0,0.9,OPTIMAL,0.326171875,9.2709255486543e-05,494.9981075756725,405.7433511500896,45.50359284697633,1.90803695507131,43.59555589190502,21.457373675310457,22.293789903295977,81.96866714042172,9.192680163937798,4.334839537145134,4.5038131584953245,6.0,5.0,23.0,1.0,0.03868034704125156,32.304482709540714,0.04386935405367639,2700.0,0.18333263243543427,2205.0018924243277,1.1564306767113237,2700.0
2.0,0.05,INFEASIBLE,0.06099987030029297,,,,,,,,,,,,,,,,,,,,,,,,
2.0,0.1,INFEASIBLE,0.06637215614318848,,,,,,,,,,,,,,,,,,,,,,,,
2.0,0.5,INFEASIBLE,0.08177995681762695,,,,,,,,,,,,,,,,,,,,,,,,
2.0,0.7,INFEASIBLE,0.09952807426452637,,,,,,,,,,,,,,,,,,,,,,,,
2.0,0.9,OPTIMAL,0.09069108963012695,0.00886973439198526,1604.32090557061,439.3682459298769,36.44026057822738,2.862055432606965,33.578205145620416,16.850650241437798,1111.661748821068,27.386556168674154,2.271382268453745,1.0503291568992248,69.29173240597288,6.0,3.0,10.0,4.0,2.1456532063499067,34.912973491171414,0.04849968201546103,2700.0,0.5941929279891148,1095.67909442939,2.3128613534226474,2700.0
