p_c_scale,delta_scale,status,solve_time,gap,total_cost,C1_rental,C2_storage,C2_model,C2_data,C3_robust_delay,C4_unmet,C1_pct,C2_pct,C3_pct,C4_pct,num_allocations,num_gpu_configs,total_gpus,num_unmet_queries,total_unmet_fraction,avg_delay,avg_error,budget_threshold,budget_utilization,budget_slack,scaled_p_c_mean,scaled_delta
0.4,0.3,OPTIMAL,0.43598484992980957,0.0,306.0046003835808,128.94086561001757,44.94132323751421,1.90803695507131,43.0332862824429,36.57126784487917,95.55114369116988,42.13690429764405,14.686486144711441,11.951215046779234,31.225394510865286,6.0,4.0,19.0,1.0,0.16578389830508478,40.54307907423624,0.04551748272651962,900.0,0.340005111537312,593.9953996164193,0.4625722706845295,900.0
0.4,0.35,OPTIMAL,0.26072192192077637,0.0,251.55209688561862,162.29734046003588,45.50359284697633,1.90803695507131,43.59555589190502,21.457373675310457,22.293789903296013,64.5183810707143,18.08913279210983,8.529991974214065,8.86249416296182,6.0,5.0,23.0,1.0,0.038680347041251624,32.304482709540714,0.04386935405367639,1050.0,0.23957342560535108,798.4479031143813,0.4625722706845295,1050.0
0.4,0.4,OPTIMAL,0.25955796241760254,0.0,251.5520968856186,162.29734046003588,45.50359284697633,1.90803695507131,43.59555589190502,21.457373675310457,22.293789903295977,64.51838107071431,18.089132792109833,8.529991974214065,8.862494162961806,6.0,5.0,23.0,1.0,0.03868034704125156,32.304482709540714,0.04386935405367639,1200.0,0.20962674740468215,948.4479031143815,0.4625722706845295,1200.0
0.4,0.45,OPTIMAL,0.2824218273162842,0.0,251.5520968856186,162.29734046003588,45.50359284697633,1.90803695507131,43.59555589190502,21.457373675310457,22.293789903295977,64.51838107071431,18.089132792109833,8.529991974214065,8.862494162961806,6.0,5.0,23.0,1.0,0.03868034704125156,32.304482709540714,0.04386935405367639,1350.0,0.1863348865819397,1098.4479031143815,0.4625722706845295,1350.0
0.4,0.5,OPTIMAL,0.2609379291534424,0.0,251.5520968856186,162.29734046003588,45.50359284697633,1.90803695507131,43.59555589190502,21.457373675310457,22.293789903295977,64.51838107071431,18.089132792109833,8.529991974214065,8.862494162961806,6.0,5.0,23.0,1.0,0.03868034704125156,32.304482709540714,0.04386935405367639,1500.0,0.16770139792374572,1248.4479031143815,0.4625722706845295,1500.0
0.45,0.3,OPTIMAL,0.2781410217285156,0.0,325.78127239852796,142.43317694542407,44.941323237514204,1.90803695507131,43.033286282442894,42.85562852441974,95.55114369117001,43.72049255525827,13.794937599279042,13.154724398029389,29.32984544743332,6.0,4.0,19.0,1.0,0.165783898305085,45.69009163296765,0.04616245671131314,900.0,0.36197919155391994,574.218727601472,0.5203938045200955,900.0
0.45,0.35,OPTIMAL,0.38855409622192383,0.0,322.12220858483295,145.05847381126975,44.94132323751421,1.90803695507131,43.0332862824429,36.57126784487917,95.55114369116988,45.032124437662816,13.951637620688492,11.35322770992609,29.66301023172262,6.0,4.0,19.0,1.0,0.16578389830508478,40.54307907423624,0.04551748272651962,1050.0,0.306783055795079,727.877791415167,0.5203938045200955,1050.0
0.45,0.4,OPTIMAL,0.2555561065673828,0.005340948641859073,271.83926444312306,182.58450801754032,45.50359284697633,1.90803695507131,43.59555589190502,21.457373675310457,22.293789903296013,67.16634861103462,16.739153904125224,7.893404846892523,8.201092637947651,6.0,5.0,23.0,1.0,0.038680347041251624,32.304482709540714,0.04386935405367639,1200.0,0.22653272036926922,928.160735556877,0.5203938045200955,1200.0
0.45,0.45,OPTIMAL,0.3068099021911621,0.0,271.83926444312294,182.58450801754032,45.50359284697634,1.90803695507131,43.59555589190503,21.457373675310457,22.29378990329593,67.16634861103465,16.73915390412524,7.893404846892525,8.201092637947625,6.0,5.0,23.0,1.0,0.038680347041251485,32.304482709540714,0.04386935405367639,1350.0,0.201362418106017,1078.1607355568772,0.5203938045200955,1350.0
0.45,0.5,OPTIMAL,0.28539013862609863,0.0,271.83926444312294,182.58450801754032,45.50359284697634,1.90803695507131,43.59555589190503,21.457373675310457,22.29378990329593,67.16634861103465,16.73915390412524,7.893404846892525,8.201092637947625,6.0,5.0,23.0,1.0,0.038680347041251485,32.304482709540714,0.04386935405367639,1500.0,0.1812261762954153,1228.1607355568772,0.5203938045200955,1500.0
