psi_delay,psi_error,status,solve_time,gap,total_cost,C1_rental,C2_storage,C2_model,C2_data,C3_robust_delay,C4_unmet,C1_pct,C2_pct,C3_pct,C4_pct,num_allocations,num_gpu_configs,total_gpus,num_unmet_queries,total_unmet_fraction,avg_delay,avg_error,avg_delay_utilization,max_delay_utilization,avg_error_utilization,max_error_utilization,scaled_Delta_i_mean,scaled_epsilon_mean
0.4,0.4,OPTIMAL,0.49371910095214844,0.006450518891545713,1087.6354168590424,469.20685374279265,40.325682797590325,3.3390646713747927,36.98661812621553,62.0671537075953,516.035726611064,43.1400859580138,3.7076470821487177,5.70661388416696,47.445653075670506,6,4,25,5,1.13823266000537,91.36121446061784,0.028594332162660805,0.09047437920400501,0.24539676137936323,0.7178968342916866,0.9022436805807368,900.0,0.03466666666666667
0.4,0.5,OPTIMAL,0.5428941249847412,0.0,784.8376592869595,387.17389767106437,41.730048471032134,2.146541574455224,39.58350689657691,34.192524135826865,321.741189009036,49.33171759658163,5.317029321572656,4.356636526194659,40.99461655565104,6,4,21,3,0.6516229404136301,44.32695062893396,0.03663957234346223,0.05397872535241651,0.14420994146829502,0.7577934738324966,0.9033142390296358,900.0,0.043333333333333335
0.4,0.6,OPTIMAL,0.5649549961090088,0.0,681.7931605053114,389.97251624826004,43.744978586540924,2.146541574455224,41.5984370120857,49.90769833520773,198.16796733530265,57.19806810018916,6.416165652662063,7.320064387008314,29.065701860140447,6,4,21,3,0.3993718176575513,55.461784737336124,0.037185508089950345,0.08011459413928243,0.36809514206904476,0.6981306733984317,0.8952393665765059,900.0,0.05200000000000001
0.4,0.7,OPTIMAL,0.34877586364746094,0.0,557.4833076481923,330.75368565796197,44.54778741023726,1.90803695507131,42.63975045516595,35.3574354222705,146.82439915772244,59.32979178395217,7.99087377130039,6.342330781423739,26.33700366332368,6,4,19,1,0.2547444260567072,39.94514593055782,0.04449030761132916,0.050235120905549824,0.20189391805561305,0.734171091545834,0.8661270980325875,900.0,0.06066666666666667
0.4,0.8,OPTIMAL,0.2717151641845703,0.009004645365181483,499.4158987986073,322.3521640250439,44.94132323751421,1.90803695507131,43.0332862824429,36.57126784487917,95.55114369116988,64.54583540501872,8.998777040463642,7.322808090982857,19.13257946353476,6,4,19,1,0.16578389830508478,40.54307907423624,0.04551748272651962,0.053349705954689054,0.22599382435357893,0.675279439631269,0.871540392395291,900.0,0.06933333333333334
0.4,0.9,OPTIMAL,0.3042871952056885,0.0,499.4158987986073,322.3521640250439,44.94132323751421,1.90803695507131,43.0332862824429,36.57126784487917,95.55114369116988,64.54583540501872,8.998777040463642,7.322808090982857,19.13257946353476,6,4,19,1,0.16578389830508478,40.54307907423624,0.04551748272651962,0.053349705954689054,0.22599382435357893,0.6002483907833502,0.7747025710180364,900.0,0.078
0.4,1.0,OPTIMAL,0.3127119541168213,0.00041866460711332404,494.9981075756725,405.7433511500896,45.50359284697633,1.90803695507131,43.59555589190502,21.457373675310457,22.293789903295977,81.96866714042172,9.192680163937798,4.334839537145134,4.5038131584953245,6,5,23,1,0.03868034704125156,32.304482709540714,0.04386935405367639,0.032126506159981645,0.07555013700128907,0.5555710654595859,0.8311139118341956,900.0,0.08666666666666667
0.4,1.1,OPTIMAL,0.2953190803527832,0.004060892619450909,472.91617376710366,405.7433511500896,45.674703594146564,1.90803695507131,43.766666639075254,21.49811902286742,0.0,85.7960403252999,9.658097169804119,4.545862504895966,0.0,6,5,23,0,0.0,32.13267234178012,0.04380948238349267,0.03221762549149398,0.07555013700128907,0.5101314679108717,0.7859592793531213,900.0,0.09533333333333334
0.4,1.2,OPTIMAL,0.3265693187713623,0.0,448.4337982311098,372.4492792204848,45.43619897476265,1.6695323356873963,43.766666639075254,30.548320035862268,0.0,83.05557714196539,10.132197696513979,6.81222516152062,0.0,6,5,21,0,0.0,42.115743409883265,0.05672398446706706,0.05274417369013724,0.13595218169347303,0.546847981964865,0.8420314701265441,900.0,0.10400000000000002
0.5,0.4,OPTIMAL,0.5835971832275391,0.0,1087.6354168590417,469.20685374279265,40.3256827975903,3.3390646713747927,36.986618126215504,62.06715370759526,516.0357266110634,43.14008595801383,3.707647082148717,5.70661388416696,47.445653075670485,6,4,25,5,1.1382326600053683,91.3612144606179,0.028594332162660805,0.07237950336320395,0.19631740910349058,0.7178968342916859,0.9022436805807365,1125.0,0.03466666666666667
