psi_delay,psi_error,status,solve_time,total_cost,gap,C1_rental,C2_storage,C2_model,C2_data,C3_robust_delay,C4_unmet,C1_pct,C2_pct,C3_pct,C4_pct,num_allocations,num_gpu_configs,total_gpus,num_unmet_queries,total_unmet_fraction,avg_delay,avg_error,scaled_Delta_i_mean,scaled_epsilon_mean
0.01,0.4,OPTIMAL,0.3767209053039551,1551.5100358052355,0.0,489.17844946108124,36.246968123189305,4.054578529526534,32.19238959366277,41.4085725040861,984.6760457168785,31.52918370954636,2.3362380704406522,2.6689206997359194,63.465657520277055,6.0,5.0,27.0,6.0,1.7033107422096923,80.8602156406955,0.03185355113457737,19.166666666666668,0.03466666666666667
0.01,0.6,OPTIMAL,0.4132211208343506,820.54197558739,0.00792374345082223,401.8671437677747,43.15315931446708,1.90803695507131,41.24512235939577,21.045322141568075,354.47635036357997,48.97581790134449,5.259104421023145,2.5648075013472225,43.20027017628512,6.0,5.0,19.0,3.0,0.5732063152186904,32.72643896301869,0.0438266387655123,19.166666666666668,0.05200000000000001
0.01,0.8,OPTIMAL,0.4119601249694824,676.7105822118183,0.0,477.77138672036614,44.65307243198745,1.90803695507131,42.74503547691614,21.179168268502703,133.10695479096185,70.60202681606923,6.598547976897237,3.129723226623546,19.669701980409968,6.0,5.0,26.0,1.0,0.2309442776330013,32.79903116154903,0.045242366238865926,19.166666666666668,0.06933333333333334
0.01,1.0,OPTIMAL,0.4084360599517822,567.0261431459492,0.0,477.77138672036614,45.50359284697633,1.90803695507131,43.59555589190502,21.457373675310457,22.293789903295977,84.25914616028393,8.024955003752618,3.7841947738532147,3.931704062110182,6.0,5.0,26.0,1.0,0.03868034704125156,32.304482709540714,0.04386935405367639,19.166666666666668,0.08666666666666667
0.01,1.2,OPTIMAL,0.3903489112854004,530.4731935445576,0.000257329332757969,457.96280234673304,45.424232111755856,1.6695323356873963,43.754699776068456,21.062209707743143,6.023949378325458,86.33099804472326,8.562964663348328,3.9704569361946476,1.1355803557337474,6.0,5.0,25.0,1.0,0.015957446808497755,29.445468664166945,0.0561098526000869,19.166666666666668,0.10400000000000002
0.01,1.4,OPTIMAL,0.33985376358032227,508.79540096473335,0.005076131402344304,441.1597590808969,45.424232111755856,1.6695323356873963,43.75469977606846,16.18746039375022,6.023949378330319,86.70671123292551,8.927799273662144,3.1815264766656646,1.1839630167466595,6.0,5.0,25.0,1.0,0.015957446808510634,27.416887415349873,0.06036506087306726,19.166666666666668,0.12133333333333333
0.01,1.6,OPTIMAL,0.38819408416748047,478.21614476884633,0.006831596251664711,400.9525663073109,44.88989083459515,1.1925230969195688,43.69736773767558,18.28872520298888,14.084962423951445,83.84337724547505,9.386945908380701,3.824363816037419,2.945313030106845,6.0,3.0,16.0,1.0,0.044590309750885404,25.28255713085652,0.0744674233019565,19.166666666666668,0.1386666666666667
0.01,1.8,OPTIMAL,0.3259098529815674,458.27837365016313,0.009457332191699504,398.7118647749823,44.959189735994826,1.1925230969195688,43.766666639075254,14.607319139186014,0.0,87.00211218767826,9.810454152112229,3.1874336602095115,0.0,6.0,4.0,18.0,0.0,0.0,25.2315028866484,0.08155376995644416,19.166666666666668,0.156
0.01,2.0,OPTIMAL,0.2702178955078125,442.0181718622411,0.0,384.1495230414748,44.959189735994826,1.1925230969195688,43.766666639075254,12.909459084771466,0.0,86.90808376113515,10.17134421116215,2.9205720277027014,0.0,6.0,3.0,16.0,0.0,0.0,22.78608559518935,0.08265774078787826,19.166666666666668,0.17333333333333334
0.03,0.4,OPTIMAL,0.865077018737793,1282.785253640305,0.0,493.2907472765479,38.96225220164208,3.3390646713747927,35.62318753026729,40.389835336143065,710.1424188259716,38.45466307604339,3.0373168144141416,3.1486045868959174,55.35941552264653,6.0,4.0,22.0,5.0,1.5406476067275072,74.37733622636483,0.029467612446913597,57.5,0.03466666666666667
