psi_delay,psi_error,status,solve_time,total_cost,gap,C1_rental,C2_storage,C2_model,C2_data,C3_robust_delay,C4_unmet,C1_pct,C2_pct,C3_pct,C4_pct,num_allocations,num_gpu_configs,total_gpus,num_unmet_queries,total_unmet_fraction,avg_delay,avg_error,scaled_Delta_i_mean,scaled_epsilon_mean
0.01,0.4,INFEASIBLE,0.08042001724243164,,,,,,,,,,,,,,,,,,,,,
0.01,0.5,INFEASIBLE,0.08230400085449219,,,,,,,,,,,,,,,,,,,,,
0.01,0.6,OPTIMAL,0.16394591331481934,820.5419755873708,0.0,401.8671437677747,43.15315931446714,1.90803695507131,41.24512235939583,21.045322141568107,354.47635036356064,48.975817901345636,5.259104421023276,2.564807501347287,43.20027017628378,6.0,5.0,19.0,3.0,0.573206315218642,32.72643896301845,0.04382663876551227,19.166666666666668,0.05200000000000001
0.01,0.7,OPTIMAL,0.15694093704223633,697.0752155581936,0.0,457.3727783204133,44.31650504230027,1.90803695507131,42.40846808722896,18.42806331481479,176.95786888066507,65.61311722353594,6.357492570843042,2.643626240542527,25.385763965078485,6.0,4.0,18.0,1.0,0.30702683615819226,27.158793105632324,0.04462272537453138,19.166666666666668,0.06066666666666667
0.01,0.8,OPTIMAL,0.15856266021728516,676.7105822118183,0.0,477.77138672036614,44.65307243198745,1.90803695507131,42.74503547691614,21.179168268502703,133.10695479096185,70.60202681606923,6.598547976897237,3.129723226623546,19.669701980409968,6.0,5.0,26.0,1.0,0.2309442776330013,32.79903116154903,0.045242366238865926,19.166666666666668,0.06933333333333334
0.01,0.9,OPTIMAL,0.13828420639038086,622.6680343218418,0.0,478.09594015451023,45.07833263948189,1.90803695507131,43.17029568441058,21.793389180720805,77.70037234712873,76.78183458947152,7.239545015118283,3.5000012814944568,12.478619113915734,6.0,5.0,22.0,1.0,0.1348123123371261,33.01822357736241,0.04364512421504208,19.166666666666668,0.078
0.01,1.0,OPTIMAL,0.14207696914672852,567.0261431459492,0.0,477.77138672036614,45.50359284697633,1.90803695507131,43.59555589190502,21.457373675310457,22.293789903295977,84.25914616028393,8.024955003752618,3.7841947738532147,3.931704062110182,6.0,5.0,26.0,1.0,0.03868034704125156,32.304482709540714,0.04386935405367639,19.166666666666668,0.08666666666666667
0.01,1.1,OPTIMAL,0.158768892288208,544.9442093373802,0.0,477.77138672036614,45.674703594146564,1.90803695507131,43.766666639075254,21.49811902286742,0.0,87.67344959978706,8.381537561374271,3.9450128388386503,0.0,6.0,5.0,26.0,0.0,0.0,32.13267234178012,0.04380948238349267,19.166666666666668,0.09533333333333334
0.01,1.2,OPTIMAL,0.18697690963745117,530.4731935445624,0.0,457.96280234673304,45.424232111755856,1.6695323356873963,43.75469977606846,21.062209707743147,6.023949378330324,86.33099804472249,8.562964663348252,3.970456936194612,1.1355803557346547,6.0,5.0,25.0,1.0,0.015957446808510647,29.44546866416691,0.056109852600086885,19.166666666666668,0.10400000000000002
0.01,1.3,OPTIMAL,0.20395803451538086,530.4731935445625,0.0,457.96280234673304,45.424232111755856,1.6695323356873963,43.75469977606846,21.062209707743147,6.0239493783304034,86.33099804472246,8.56296466334825,3.9704569361946116,1.1355803557346693,6.0,5.0,25.0,1.0,0.015957446808510856,29.44546866416691,0.05610985260008687,19.166666666666668,0.11266666666666669
