psi_delay,psi_error,status,solve_time,gap,total_cost,C1_rental,C2_storage,C2_model,C2_data,C3_robust_delay,C4_unmet,C1_pct,C2_pct,C3_pct,C4_pct,num_allocations,num_gpu_configs,total_gpus,num_unmet_queries,total_unmet_fraction,avg_delay,avg_error,avg_delay_utilization,max_delay_utilization,avg_error_utilization,max_error_utilization,scaled_Delta_i_mean,scaled_epsilon_mean,num_tp_configs,avg_tp_degree,tp_1_count,tp_2_count,tp_4_count,tp_8_count
0.01,0.4,OPTIMAL,0.5147650241851807,0.00162536902939299,5490.214218672749,489.17844946108124,36.24696812318932,4.054578529526534,32.19238959366279,41.40857250408616,4923.380228584392,8.910006604065432,0.6602104522608586,0.7542250785634484,89.67555786511026,6,5,27,6,1.703310742209692,80.86021564069561,0.03185355113457738,1.9750476324467037,5.2038930063293165,0.7049403036115683,0.8872223062083386,22.5,0.03466666666666667,5,7.296296296296297,1,1,0,3
0.01,0.5,OPTIMAL,0.49369120597839355,0.0,2502.8040575461264,465.7051908507585,41.17548852309771,2.146541574455224,39.028946948642485,25.95307152234253,1969.970306649927,18.60733721629647,1.6451742755870473,1.0369597829319572,78.71052872518449,6,5,28,3,0.7769836883270382,39.62120016388642,0.03761730075758813,1.6568978287438314,2.9687123140732607,0.7620728676921787,0.9033142390296351,22.5,0.043333333333333335,5,6.285714285714286,0,0,3,2
0.01,0.6,OPTIMAL,0.46321892738342285,0.0,2069.318726053247,486.4974617874283,43.50955565082832,1.90803695507131,41.60151869575701,21.425975853216887,1517.885732761773,23.510030410603356,2.102602905150956,1.0354120698497735,73.3519546143959,6,5,22,2,0.4793890508305667,32.18653245063357,0.04427551972307791,1.2504720560480118,3.2250342719930107,0.794037748753575,0.8889423717816204,22.5,0.05200000000000001,5,5.2727272727272725,0,1,3,1
0.01,0.7,OPTIMAL,0.30282092094421387,0.0,1398.8408588109198,474.1758215862494,43.05231804201358,1.90803695507131,41.14428108694227,20.010880217335213,861.6018389653215,33.89776746936896,3.0777137921614663,1.430533008189752,61.59398573027981,6,4,18,2,0.3408801939529422,34.54181634327663,0.042144088940488725,0.9141606514989776,2.8616398681891413,0.6916848750326253,0.8661270980325875,22.5,0.06066666666666667,4,5.555555555555555,0,1,2,1
0.01,0.8,OPTIMAL,0.34459710121154785,0.0,1209.1384013756526,477.77138672036614,44.65307243198745,1.90803695507131,42.74503547691614,21.179168268502703,665.534773954796,39.51337466222224,3.6929661965234963,1.7515917321298278,55.04206740912442,6,5,26,1,0.2309442776329967,32.79903116154903,0.045242366238865926,1.2417112592819348,3.022005480051563,0.6726161701973076,0.871540392395291,22.5,0.06933333333333334,5,6.3076923076923075,0,1,2,2
0.01,0.9,OPTIMAL,0.4260849952697754,0.0,932.7076906758056,477.77138672036614,45.07833263948189,1.90803695507131,43.17029568441058,21.356109580313152,388.50186173564424,51.224128577109795,4.833061106939066,2.289689448667385,41.65312086728374,6,5,26,1,0.13481231233712632,32.74129632080623,0.04402157280977546,1.276001919796988,3.022005480051563,0.6019101854766844,0.8311139118341957,22.5,0.078,5,6.3076923076923075,0,1,2,2
0.01,1.0,OPTIMAL,0.30584096908569336,0.00011532622153520153,656.2013027591333,477.77138672036614,45.50359284697633,1.90803695507131,43.59555589190502,21.457373675310457,111.4689495164802,72.80866171881678,6.934395383801757,3.2699376830080213,16.987005214373404,6,5,26,1,0.03868034704125167,32.304482709540714,0.04386935405367639,1.2850602463992657,3.022005480051563,0.5555710654595859,0.8311139118341956,22.5,0.08666666666666667,5,6.3076923076923075,0,1,2,2
0.01,1.1,OPTIMAL,0.2534327507019043,0.0,544.9442093373802,477.77138672036614,45.674703594146564,1.90803695507131,43.766666639075254,21.49811902286737,0.0,87.67344959978706,8.381537561374271,3.9450128388386405,0.0,6,5,26,0,0.0,32.13267234178012,0.04380948238349267,1.2887050196597594,3.022005480051563,0.5101314679108717,0.7859592793531213,22.5,0.09533333333333334,5,6.3076923076923075,0,1,2,2
0.01,1.2,OPTIMAL,0.3212869167327881,0.0,544.9442093373802,477.77138672036614,45.674703594146564,1.90803695507131,43.766666639075254,21.49811902286742,0.0,87.67344959978706,8.381537561374271,3.9450128388386503,0.0,6,5,26,0,0.0,32.13267234178012,0.04380948238349267,1.2887050196597594,3.022005480051563,0.46762051225163237,0.7204626727403612,22.5,0.10400000000000002,5,6.3076923076923075,0,1,2,2
0.01,1.3,OPTIMAL,0.28829002380371094,0.0,544.9442093373802,477.77138672036614,45.674703594146564,1.90803695507131,43.766666639075254,21.498119022867414,0.0,87.67344959978706,8.381537561374271,3.945012838838649,0.0,6,5,26,0,0.0,32.13267234178012,0.04380948238349267,1.2887050196597594,3.022005480051563,0.4316497036168914,0.6650424671449487,22.5,0.11266666666666669,5,6.3076923076923075,0,1,2,2
0.01,1.4,OPTIMAL,0.31574225425720215,0.0068799068193991265,531.0030804078509,469.3698650874481,45.43619897476265,1.6695323356873963,43.766666639075254,16.197016345640016,0.0,88.39305879862998,8.556673332264698,3.050267869105292,0.0,6,5,26,0,0.0,27.36208912476769,0.06031329919797294,1.1694404392344484,3.022005480051563,0.4990545867780675,0.8300024491247363,22.5,0.12133333333333333,5,6.3076923076923075,0,1,2,2
