p_c_scale,delta_scale,status,solve_time,total_cost,gap,C1_rental,C2_storage,C2_model,C2_data,C3_robust_delay,C4_unmet,C1_pct,C2_pct,C3_pct,C4_pct,num_allocations,num_gpu_configs,total_gpus,num_unmet_queries,total_unmet_fraction,avg_delay,avg_error,budget_threshold,budget_utilization,budget_slack,scaled_p_c_mean,scaled_delta
0.5,0.1,INFEASIBLE,0.09132790565490723,,,,,,,,,,,,,,,,,,,,,,,,
0.5,0.3,OPTIMAL,0.2981998920440674,497.07577074303356,0.0,142.7459943547723,43.52403387136597,1.90803695507131,41.61599691629466,58.3789953832763,252.42674713361902,28.717149930964098,8.756015970423551,11.74448621706321,50.78234788154915,6.0,5.0,25.0,2.0,0.4448410152763636,62.32687472966989,0.046654963145913324,900.0,0.5523064119367039,402.92422925696644,0.5782153383556619,900.0
0.5,0.5,OPTIMAL,0.2572810649871826,292.1264320006275,0.0,202.8716755750448,45.50359284697633,1.90803695507131,43.59555589190502,21.457373675310457,22.293789903295977,69.44653182722233,15.576677719761623,7.3452352559676495,7.631555197048409,6.0,5.0,23.0,1.0,0.03868034704125156,32.304482709540714,0.04386935405367639,1500.0,0.194750954667085,1207.8735679993724,0.5782153383556619,1500.0
0.5,0.7,OPTIMAL,0.2853381633758545,292.1264320006275,0.0,202.8716755750448,45.50359284697633,1.90803695507131,43.59555589190502,21.457373675310457,22.293789903295977,69.44653182722233,15.576677719761623,7.3452352559676495,7.631555197048409,6.0,5.0,23.0,1.0,0.03868034704125156,32.304482709540714,0.04386935405367639,2100.0,0.13910782476220357,1807.8735679993724,0.5782153383556619,2100.0
0.5,0.9,OPTIMAL,0.2936849594116211,292.1264320006276,0.0,202.8716755750448,45.50359284697633,1.90803695507131,43.59555589190502,21.457373675310457,22.293789903296013,69.44653182722233,15.57667771976162,7.345235255967649,7.63155519704842,6.0,5.0,23.0,1.0,0.038680347041251624,32.304482709540714,0.04386935405367639,2700.0,0.10819497481504725,2407.8735679993724,0.5782153383556619,2700.0
1.0,0.1,INFEASIBLE,0.08120608329772949,,,,,,,,,,,,,,,,,,,,,,,,
1.0,0.3,INFEASIBLE,0.08373188972473145,,,,,,,,,,,,,,,,,,,,,,,,
1.0,0.5,OPTIMAL,0.34285497665405273,984.4020210395356,0.0,241.0981097572636,40.67527703224417,1.6695323356873963,39.00574469655677,27.93546705584799,674.6931671941798,24.49183408854263,4.131978212447267,2.8378108190338676,68.53837687997623,6.0,4.0,15.0,2.0,1.0507732248330766,40.343758725342404,0.05183857425105384,1500.0,0.656268014026357,515.5979789604644,1.1564306767113237,1500.0
1.0,0.7,OPTIMAL,0.3524301052093506,499.4158987986073,0.00812461538051517,322.3521640250439,44.94132323751421,1.90803695507131,43.0332862824429,36.57126784487917,95.55114369116988,64.54583540501872,8.998777040463642,7.322808090982857,19.13257946353476,6.0,4.0,19.0,1.0,0.16578389830508478,40.54307907423624,0.04551748272651962,2100.0,0.23781709466600348,1600.5841012013927,1.1564306767113237,2100.0
1.0,0.9,OPTIMAL,0.32715296745300293,494.9981075756725,9.2709255486543e-05,405.7433511500896,45.50359284697633,1.90803695507131,43.59555589190502,21.457373675310457,22.293789903295977,81.96866714042172,9.192680163937798,4.334839537145134,4.5038131584953245,6.0,5.0,23.0,1.0,0.03868034704125156,32.304482709540714,0.04386935405367639,2700.0,0.18333263243543427,2205.0018924243277,1.1564306767113237,2700.0
1.5,0.1,INFEASIBLE,0.08014893531799316,,,,,,,,,,,,,,,,,,,,,,,,
1.5,0.3,INFEASIBLE,0.08946776390075684,,,,,,,,,,,,,,,,,,,,,,,,
1.5,0.5,INFEASIBLE,0.08364319801330566,,,,,,,,,,,,,,,,,,,,,,,,
1.5,0.7,OPTIMAL,0.16647601127624512,1370.12888617454,0.0,343.7819252783009,36.255249087381515,1.6695323356873963,34.58571675169412,21.111133203622046,968.9805786052356,25.09121066983378,2.646119606207834,1.5408136721038892,70.7218560518545,6.0,3.0,11.0,4.0,1.852604370606048,37.880546539501054,0.051630191685882836,2100.0,0.652442326749781,729.87111382546,1.7346460150669856,2100.0
1.5,0.9,OPTIMAL,0.3598451614379883,779.629398534384,0.0,438.4796996296594,43.74167230270345,1.90803695507131,41.83363534763214,45.555970547020344,251.85205605500065,56.24206840505914,5.610572457238387,5.8432853651568895,32.304073772545564,6.0,5.0,25.0,1.0,0.43697033898305115,56.874298020940316,0.04847073666514377,2700.0,0.2887516290868089,1920.370601465616,1.7346460150669856,2700.0
2.0,0.1,INFEASIBLE,0.06931877136230469,,,,,,,,,,,,,,,,,,,,,,,,
2.0,0.3,INFEASIBLE,0.08527708053588867,,,,,,,,,,,,,,,,,,,,,,,,
2.0,0.5,INFEASIBLE,0.08441400527954102,,,,,,,,,,,,,,,,,,,,,,,,
2.0,0.7,INFEASIBLE,0.10429906845092773,,,,,,,,,,,,,,,,,,,,,,,,
2.0,0.9,OPTIMAL,0.09361100196838379,1604.32090557061,0.00886973439198526,439.3682459298769,36.44026057822738,2.862055432606965,33.578205145620416,16.850650241437798,1111.661748821068,27.386556168674154,2.271382268453745,1.0503291568992248,69.29173240597288,6.0,3.0,10.0,4.0,2.1456532063499067,34.912973491171414,0.04849968201546103,2700.0,0.5941929279891148,1095.67909442939,2.3128613534226474,2700.0
2.5,0.1,INFEASIBLE,0.06612706184387207,,,,,,,,,,,,,,,,,,,,,,,,
2.5,0.3,INFEASIBLE,0.08296012878417969,,,,,,,,,,,,,,,,,,,,,,,,
2.5,0.5,INFEASIBLE,0.08945822715759277,,,,,,,,,,,,,,,,,,,,,,,,
2.5,0.7,INFEASIBLE,0.10588479042053223,,,,,,,,,,,,,,,,,,,,,,,,
2.5,0.9,INFEASIBLE,0.08314824104309082,,,,,,,,,,,,,,,,,,,,,,,,
3.0,0.1,INFEASIBLE,0.062036991119384766,,,,,,,,,,,,,,,,,,,,,,,,
3.0,0.3,INFEASIBLE,0.07921791076660156,,,,,,,,,,,,,,,,,,,,,,,,
3.0,0.5,INFEASIBLE,0.08555102348327637,,,,,,,,,,,,,,,,,,,,,,,,
3.0,0.7,INFEASIBLE,0.11079621315002441,,,,,,,,,,,,,,,,,,,,,,,,
3.0,0.9,INFEASIBLE,0.08525395393371582,,,,,,,,,,,,,,,,,,,,,,,,
3.5,0.1,INFEASIBLE,0.0635068416595459,,,,,,,,,,,,,,,,,,,,,,,,
3.5,0.3,INFEASIBLE,0.08295106887817383,,,,,,,,,,,,,,,,,,,,,,,,
3.5,0.5,INFEASIBLE,0.08459973335266113,,,,,,,,,,,,,,,,,,,,,,,,
3.5,0.7,INFEASIBLE,0.11073017120361328,,,,,,,,,,,,,,,,,,,,,,,,
3.5,0.9,INFEASIBLE,0.08399581909179688,,,,,,,,,,,,,,,,,,,,,,,,
4.0,0.1,INFEASIBLE,0.06228804588317871,,,,,,,,,,,,,,,,,,,,,,,,
4.0,0.3,INFEASIBLE,0.08313608169555664,,,,,,,,,,,,,,,,,,,,,,,,
4.0,0.5,INFEASIBLE,0.08238840103149414,,,,,,,,,,,,,,,,,,,,,,,,
4.0,0.7,INFEASIBLE,0.10690903663635254,,,,,,,,,,,,,,,,,,,,,,,,
4.0,0.9,INFEASIBLE,0.08814597129821777,,,,,,,,,,,,,,,,,,,,,,,,
