psi_budget,psi_cost,status,solve_time,total_cost,gpu_rental_cost,storage_cost_model,storage_cost_data,storage_cost_total,delay_penalty,error_penalty,unmet_demand_penalty,total_gpus,avg_gpu_cost,budget_available,budget_used,budget_utilization_pct,budget_slack,precision_FP16,precision_INT8,precision_INT4,total_unmet_demand,unmet_demand_pct,num_active_configs,gpu_tier_allocation,gpu_tier_cost,model_instances
0.4,0.2,OPTIMAL,2.033820152282715,399.05987904310444,94.68152291185032,2.0061865647069346,6.834030085023873,8.840216649730808,252.84296731806634,0.0234767867140691,0.0,25,3.787260916474013,800.0,103.52173956158113,12.940217445197641,696.4782604384188,9,16,0,0.0,0.0,4,"{'H100_80GB_FP16': 1, 'A6000_FP16': 8, 'H100_80GB_INT8': 16}","{'H100_80GB_FP16': np.float64(5.64202120131024), 'A6000_FP16': np.float64(12.209597102245127), 'H100_80GB_INT8': np.float64(76.82990460829497)}","{'Llama-3.2-3B': 1, 'Llama-3.1-8B': 16, 'Llama-3.1-70B': 8}"
0.4,0.4,OPTIMAL,2.8997650146484375,561.1921529199585,85.4806003947483,0.8788993499019612,6.7746881428537105,7.653587492755672,264.8354609600045,0.0,143.06688371385772,20,4.274030019737415,800.0,93.13418788750396,11.641773485937994,706.8658121124961,9,11,0,0.03789842914576489,0.008959439514365222,5,"{'H100_80GB_FP16': 1, 'A6000_FP16': 8, 'A6000_INT8': 8, 'H100_80GB_INT8': 3}","{'H100_80GB_FP16': np.float64(11.28404240262048), 'A6000_FP16': np.float64(24.419194204490253), 'A6000_INT8': np.float64(20.966149559526947), 'H100_80GB_INT8': np.float64(28.811214228110614)}","{'Llama-3.2-3B': 1, 'Llama-3.1-8B': 18, 'Llama-3.2-11B-Vision': 1}"
0.4,0.6,OPTIMAL,1.629382848739624,604.0040099277303,128.22090059212243,0.8789006671334484,6.7746902886632805,7.653590955796729,264.88111960499486,0.02603565364495912,143.06688371385755,20,6.411045029606122,800.0,135.87449154791918,16.984311443489897,664.1255084520808,9,11,0,0.03789842914576485,0.008959439514365213,5,"{'H100_80GB_FP16': 1, 'A6000_FP16': 8, 'A6000_INT8': 8, 'H100_80GB_INT8': 3}","{'H100_80GB_FP16': np.float64(16.926063603930718), 'A6000_FP16': np.float64(36.62879130673539), 'A6000_INT8': np.float64(31.449224339290417), 'H100_80GB_INT8': np.float64(43.216821342165915)}","{'Llama-3.2-3B': 1, 'Llama-3.1-8B': 18, 'Llama-3.2-11B-Vision': 1}"
0.4,0.8,OPTIMAL,1.9678900241851807,674.3687388296718,131.7804146631504,0.8789007807287522,6.700994786837585,7.5798955675663375,309.21318799720154,0.03546813543468665,225.7597724663188,28,4.7064433808268,800.0,139.36031023071672,17.42003877883959,660.6396897692832,10,18,0,0.057322456141620855,0.013551408071305166,5,"{'RTX_4090_INT8': 10, 'A6000_FP16': 10, 'A6000_INT8': 8}","{'RTX_4090_INT8': np.float64(28.80013003287089), 'A6000_FP16': np.float64(61.04798551122563), 'A6000_INT8': np.float64(41.932299119053894)}","{'Llama-3.2-3B': 2, 'Llama-3.1-8B': 24, 'Llama-3.2-11B-Vision': 2}"
0.4,1.0,OPTIMAL,2.5854599475860596,1270.4121998784328,132.10256164042846,0.8789007807287522,6.3835099538951035,7.262410734623856,296.0781168869999,0.03460446198339384,834.9352332156677,24,5.504273401684519,800.0,139.3649723750523,17.420621546881538,660.6350276249477,6,18,0,0.13291214724059097,0.031421311404395025,5,"{'RTX_4090_INT8': 10, 'A6000_INT8': 8, 'RTX_4090_FP16': 6}","{'RTX_4090_INT8': np.float64(36.000162541088606), 'A6000_INT8': np.float64(52.415373898817364), 'RTX_4090_FP16': np.float64(43.6870252005225)}","{'Llama-3.2-3B': 2, 'Llama-3.1-8B': 20, 'Llama-3.2-11B-Vision': 2}"
0.4,1.2,OPTIMAL,1.6447999477386475,1336.2741686854577,132.01876075747094,0.7833680871712793,6.341961624445116,7.125329711616395,275.62445923079974,0.03897404737586,921.4666449381948,24,5.500781698227956,800.0,139.14409046908733,17.393011308635916,660.8559095309126,0,24,0,0.14516305281718755,0.03431750657616727,4,"{'RTX_4090_INT8': 16, 'A6000_INT8': 8}","{'RTX_4090_INT8': np.float64(69.12031207889012), 'A6000_INT8': np.float64(62.898448678580834)}","{'Llama-3.2-3B': 4, 'Llama-3.1-8B': 16, 'Llama-3.2-11B-Vision': 4}"
0.4,1.4,OPTIMAL,2.993217945098877,1670.175353243734,125.10204862373814,0.6878353936138061,6.16988043092188,6.857715824535687,277.20265985882475,0.04222464350047297,1260.970704293135,15,8.340136574915876,800.0,131.95976444827383,16.49497055603423,668.0402355517261,3,12,0,0.21457436915532063,0.05072680121875192,4,"{'RTX_4090_FP16': 1, 'RTX_4090_INT8': 4, 'A6000_INT8': 8, 'A6000_FP16': 2}","{'RTX_4090_FP16': np.float64(10.193639213455247), 'RTX_4090_INT8': np.float64(20.16009102300962), 'A6000_INT8': np.float64(73.3815234583443), 'A6000_FP16': np.float64(21.36679492892897)}","{'Llama-3.2-3B': 5, 'Llama-3.1-8B': 8, 'Llama-3.2-11B-Vision': 2}"
0.4,1.6,OPTIMAL,7.155533075332642,1975.4279279450413,131.4537178425524,0.6496223161908169,6.013399586250315,6.663021902441131,275.42014974993793,0.04116653999622252,1561.8498719101135,13,10.111824449427107,800.0,138.11673974499354,17.264592468124192,661.8832602550065,3,10,0,0.25853277603298136,0.0611188595822651,5,"{'RTX_4090_INT8': 2, 'RTX_4090_FP16': 1, 'A6000_INT8': 8, 'A6000_FP16': 2}","{'RTX_4090_INT8': np.float64(11.520052013148355), 'RTX_4090_FP16': np.float64(11.649873386805998), 'A6000_INT8': np.float64(83.86459823810779), 'A6000_FP16': np.float64(24.419194204490253)}","{'Llama-3.2-1B': 1, 'Llama-3.2-3B': 2, 'Llama-3.1-8B': 8, 'Llama-3.2-11B-Vision': 2}"
0.4,1.8,OPTIMAL,2.9399349689483643,2082.230805702627,131.15206159838672,0.5923027000563331,5.933606768776579,6.5259094688329125,220.9077294928653,0.04316176273357965,1723.6019433798083,18,7.286225644354818,800.0,137.67797106721963,17.209746383402454,662.3220289327803,2,16,0,0.2658242243253448,0.06284260622348578,3,"{'RTX_4090_INT8': 16, 'A6000_FP16': 2}","{'RTX_4090_INT8': np.float64(103.68046811833518), 'A6000_FP16': np.float64(27.47159348005154)}","{'Llama-3.2-3B': 8, 'Llama-3.1-8B': 8, 'Llama-3.2-11B-Vision': 2}"
0.4,2.0,OPTIMAL,1.9913370609283447,2158.4152198118195,130.96861681576942,0.5923027000563331,5.902436907312877,6.49473960736921,232.50495911403473,0.04352018712294872,1788.4033840875234,10,13.096861681576943,800.0,137.46335642313863,17.18291955289233,662.5366435768614,4,6,0,0.2810463460699902,0.0664412165650095,5,"{'A6000_INT8': 5, 'RTX_4090_FP16': 4, 'RTX_4090_INT8': 1}","{'A6000_INT8': np.float64(65.51921737352171), 'RTX_4090_FP16': np.float64(58.24936693402999), 'RTX_4090_INT8': np.float64(7.2000325082177214)}","{'Llama-3.2-3B': 4, 'Llama-3.1-8B': 4, 'Llama-3.2-11B-Vision': 2}"
