C_gpu_scale,psi_error,status,solve_time,total_cost,gap,C1_rental,C2_storage,C2_model,C2_data,C3_robust_delay,C4_unmet,C1_pct,C2_pct,C3_pct,C4_pct,num_allocations,num_gpu_configs,total_gpus,num_unmet_queries,total_unmet_fraction,avg_delay,avg_error,avg_memory_util,max_memory_util,scaled_C_gpu_mean,scaled_epsilon_mean,num_tp_configs,avg_tp_degree,tp_1_count,tp_2_count,tp_4_count,tp_8_count
0.6,0.6,INFEASIBLE,0.0908360481262207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6,0.8,INFEASIBLE,0.07729196548461914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6,1.0,INFEASIBLE,0.07693171501159668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6,1.2,INFEASIBLE,0.10086870193481445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6,1.4,INFEASIBLE,0.07621502876281738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6,1.6,INFEASIBLE,0.07685589790344238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6,1.8,INFEASIBLE,0.07721614837646484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6,2.0,INFEASIBLE,0.07694292068481445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8,0.6,INFEASIBLE,0.09934306144714355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8,0.8,INFEASIBLE,0.08626604080200195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8,1.0,OPTIMAL,0.09300374984741211,620.8495988150653,0.0,477.3928958396718,44.98024484031497,1.90803695507131,43.07220788524366,31.04840634526567,67.42805178981268,76.89348543525024,7.244950294912471,5.000954563637267,10.860609706199991,6.0,4.0,25.0,3.0,0.17571022896223676,36.345900133905765,0.04628383972890403,5.871979166666666,8.0,39.68,0.08666666666666667,4.0,7.72,1.0,0.0,0.0,3.0
0.8,1.2,OPTIMAL,0.10526895523071289,620.8495988150653,0.0,477.3928958396718,44.980244840314974,1.90803695507131,43.072207885243664,31.04840634526567,67.42805178981267,76.89348543525024,7.244950294912472,5.000954563637267,10.86060970619999,6.0,4.0,25.0,3.0,0.17571022896223676,36.34590013390577,0.046283839728904035,5.871979166666666,8.0,39.68,0.10400000000000002,4.0,7.72,1.0,0.0,0.0,3.0
0.8,1.4,OPTIMAL,0.11089396476745605,620.8495988150653,0.0,477.3928958396718,44.980244840314974,1.90803695507131,43.072207885243664,31.04840634526567,67.42805178981267,76.89348543525024,7.244950294912472,5.000954563637267,10.86060970619999,6.0,4.0,25.0,3.0,0.17571022896223676,36.34590013390577,0.046283839728904035,5.871979166666666,8.0,39.68,0.12133333333333333,4.0,7.72,1.0,0.0,0.0,3.0
0.8,1.6,OPTIMAL,0.14628887176513672,601.6498476142883,0.0,491.95523757317926,45.27944815394869,1.6695323356873963,43.6099158182613,32.55564641873124,31.859515468428857,81.7676991898063,7.525880432529735,5.4110620235047975,5.2953583541591245,6.0,5.0,27.0,1.0,0.10086116103757559,38.00712489420999,0.0513671910099406,4.653838207044577,7.188750000000001,39.68,0.1386666666666667,5.0,7.296296296296297,1.0,1.0,0.0,3.0
0.8,1.8,OPTIMAL,0.1091768741607666,479.79996021579245,0.0,422.72120996507454,44.72068511661091,0.954018477535655,43.766666639075254,12.358065134107116,0.0,88.10363589337389,9.320693794242407,2.5756703123837306,0.0,6.0,4.0,19.0,0.0,0.0,18.34804652906887,0.10630322547104082,3.517708333333334,7.173750000000002,39.68,0.156,4.0,7.0,1.0,1.0,0.0,2.0
0.8,2.0,OPTIMAL,0.13028812408447266,463.5397584278704,0.0,408.158868231567,44.72068511661091,0.954018477535655,43.766666639075254,10.660205079692577,0.0,88.05261270702391,9.647648190585516,2.2997391023905815,0.0,6.0,3.0,17.0,0.0,0.0,15.902629237609823,0.10740719630247492,4.470250000000001,7.173750000000002,39.68,0.17333333333333334,3.0,7.588235294117647,1.0,0.0,0.0,2.0
1.0,0.6,INFEASIBLE,0.07961606979370117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,0.8,INFEASIBLE,0.07991981506347656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,1.0,OPTIMAL,0.13873791694641113,494.9981075756725,0.0,405.7433511500896,45.50359284697633,1.90803695507131,43.59555589190502,21.457373675310457,22.293789903295977,81.96866714042172,9.192680163937798,4.334839537145134,4.5038131584953245,6.0,5.0,23.0,1.0,0.03868034704125156,32.304482709540714,0.04386935405367639,3.918102902871671,7.615914514358353,49.6,0.08666666666666667,5.0,6.478260869565218,1.0,1.0,1.0,2.0
1.0,1.2,OPTIMAL,0.13537907600402832,449.30339537855764,0.0019354341774238605,375.5386313081216,45.43619897476265,1.6695323356873963,43.766666639075254,28.328565095673383,0.0,83.58241561733891,10.112587494799739,6.304996887861339,0.0,6.0,5.0,25.0,0.0,0.0,37.31329896417889,0.05845539711213175,4.118786666666667,7.835000000000003,49.6,0.10400000000000002,5.0,6.44,1.0,0.0,2.0,2.0
1.0,1.4,OPTIMAL,0.12012791633605957,426.75600565128076,0.0008454636004419221,355.6462359546487,45.43619897476265,1.6695323356873963,43.766666639075254,25.673570721869336,0.0,83.33713673505075,10.646879803231256,6.015983461717989,0.0,6.0,5.0,21.0,0.0,0.0,40.092557323962005,0.06096787569676824,3.485786666666667,7.835000000000003,49.6,0.12133333333333333,5.0,5.380952380952381,1.0,0.0,3.0,1.0
