C_gpu_scale,psi_error,status,solve_time,total_cost,gap,C1_rental,C2_storage,C2_model,C2_data,C3_robust_delay,C4_unmet,C1_pct,C2_pct,C3_pct,C4_pct,num_allocations,num_gpu_configs,total_gpus,num_unmet_queries,total_unmet_fraction,avg_delay,avg_error,avg_memory_util,max_memory_util,scaled_C_gpu_mean,scaled_epsilon_mean
0.5,0.4,INFEASIBLE,0.08107280731201172,,,,,,,,,,,,,,,,,,,,,,,
0.5,0.6,OPTIMAL,0.36957621574401855,1139.8273222318032,0.0,468.3894016027526,37.065059803629175,1.90803695507131,35.157022848557865,40.09619648713746,594.2766643382839,41.09301404406041,3.2518135932252523,3.517743056784106,52.137429305930226,6.0,6.0,37.0,4.0,1.0499579079581953,57.83603961948968,0.044261657400285176,5.444903576671089,8.00000000000001,24.8,0.05200000000000001
0.5,0.8,OPTIMAL,0.5814812183380127,1026.138479505089,0.009790150710837428,451.58635833691653,37.64160592885858,1.90803695507131,35.73356897378727,39.234195831271656,497.67631940804233,44.008325129247524,3.6682773992661586,3.823479638946439,48.49991783253989,6.0,6.0,37.0,3.0,0.929679378531081,54.91264812557497,0.045867467387110575,5.512644444444439,8.000000000000005,24.8,0.06933333333333334
0.5,1.0,OPTIMAL,0.5890989303588867,973.4497225688978,0.0,453.762041530274,40.647769754512744,1.4310277163034826,39.21674203820926,24.890894758397373,454.1490165257137,46.6138138426721,4.175641413430658,2.5569779497919236,46.65356679410533,6.0,5.0,25.0,2.0,0.7722965810864166,41.72078660897166,0.0634645129047418,4.448493617640143,7.99,24.8,0.08666666666666667
0.5,1.2,OPTIMAL,0.4581179618835449,859.3216836870542,0.0023682232818986407,482.886724997289,42.88968535996862,1.4310277163034826,41.458657643665134,32.83787482021562,300.70739850958086,56.19394158953233,4.99110940340103,3.8213716054876645,34.99357740157896,6.0,6.0,29.0,1.0,0.5217357202466008,45.832788812149175,0.06542062257589862,4.098841973449612,7.99,24.8,0.10400000000000002
0.5,1.4,OPTIMAL,0.6938529014587402,816.1426080679122,0.0,466.0836817314529,43.06823584381524,1.4310277163034826,41.637208127511755,29.546395206196003,277.4442952864479,57.10811776324629,5.2770478367466245,3.6202490733993646,33.994585326607705,6.0,5.0,29.0,1.0,0.48137358757062143,44.24419844714183,0.06889768558606778,4.969573333333333,7.99,24.8,0.12133333333333333
0.5,1.6,OPTIMAL,0.1959681510925293,595.9144232942924,0.005822755600695285,274.33347364485957,41.81298157257598,0.7155138581517413,41.09746771442424,20.990297642916687,258.7776704339403,46.035716358115394,7.016608415253381,3.5223677800714395,43.4253074465598,6.0,3.0,17.0,4.0,0.5258661045684975,25.825469337511553,0.11757446899978423,5.171705929347929,7.879276344090274,24.8,0.1386666666666667
0.5,1.8,OPTIMAL,0.15324902534484863,503.1631222353995,0.008382829626106232,274.33347364485957,43.23202341516915,0.7155138581517413,42.51650955701741,22.71633458181219,162.88129059355867,54.521776640958905,8.592049278791047,4.51470578386001,32.371468296390056,6.0,3.0,17.0,1.0,0.2826035803699011,26.424231897933208,0.1168288191930679,5.484370364793281,7.970000000000001,24.8,0.156
0.5,2.0,OPTIMAL,0.22315382957458496,493.93802254962725,0.0,304.8574664004724,43.58464071961991,0.7155138581517413,42.86912686146817,28.556660807983576,116.9392546215514,61.71978112291255,8.823908816463073,5.781425908574271,23.67488415205011,6.0,4.0,21.0,1.0,0.20289286707766807,29.362776376641307,0.11646286945427613,4.28460493362403,7.970000000000001,24.8,0.17333333333333334
1.0,0.4,OPTIMAL,0.6785640716552734,1087.6353967186033,0.001989420545206366,469.20685374279265,40.32568462837081,3.3390646713747927,36.986619956996016,62.06715664642864,516.035701701011,43.14008675686632,3.7076473191322594,5.706614260043881,47.44565166395753,6.0,4.0,25.0,5.0,1.1382325639321758,91.36121877629955,0.02859433233121886,5.461608780386971,8.000000604108275,49.6,0.03466666666666667
